,latitude,longitude,month,wellDepth
167,28.5,76.9,2023-10,38.0
168,28.5,76.9,2023-11,38.0
169,28.5,76.9,2023-12,38.0
170,28.5,77.1,2020-01,100.0
171,28.5,77.1,2020-08,100.0
172,28.5,77.1,2020-11,100.0
173,28.5,77.1,2021-01,100.0
174,28.5,77.1,2021-08,100.0
175,28.5,77.1,2021-11,100.0
176,28.5,77.1,2022-01,100.0
177,28.5,77.1,2022-05,100.0
178,28.5,77.1,2022-08,100.0
179,28.5,77.1,2022-11,100.0
180,28.5,76.9,2020-01,15.0
181,28.5,76.9,2020-08,15.0
182,28.5,76.9,2020-11,15.0
183,28.5,76.9,2021-01,15.0
184,28.5,76.9,2021-08,15.0
185,28.5,76.9,2021-11,15.0
186,28.5,76.9,2022-01,15.0
187,28.5,76.9,2022-05,15.0
188,28.5,76.9,2022-08,15.0
189,28.5,76.9,2022-11,15.0
190,28.5,77.1,2020-11,20.0
191,28.5,77.1,2021-01,20.0
192,28.5,77.1,2021-11,20.0
193,28.5,77.1,2022-01,20.0
194,28.5,77.1,2022-05,20.0
195,28.5,77.1,2022-08,20.0
196,28.5,77.1,2022-11,20.0
197,28.5,76.9,2020-01,100.0
198,28.5,76.9,2020-08,100.0
199,28.5,76.9,2020-11,100.0
200,28.5,76.9,2021-01,100.0
201,28.5,76.9,2021-08,100.0
202,28.5,76.9,2021-11,100.0
203,28.5,76.9,2022-01,100.0
204,28.5,76.9,2022-05,100.0
205,28.5,76.9,2022-08,100.0
206,28.5,76.9,2022-11,100.0
207,28.5,76.9,2022-12,52.77
208,28.5,76.9,2023-01,30.79
209,28.5,76.9,2023-02,31.61
210,28.5,76.9,2023-03,32.72
211,28.5,76.9,2023-04,33.64
212,28.5,76.9,2023-05,34.65
213,28.5,76.9,2023-06,35.56
214,28.5,76.9,2023-07,36.57
215,28.5,76.9,2023-08,37.55
216,28.5,76.9,2023-09,38.59
217,28.5,76.9,2023-10,39.37
218,28.5,76.9,2023-11,40.39
219,28.5,76.9,2023-12,41.4
220,28.5,77.2,2020-01,104.0
221,28.5,77.2,2020-08,104.0
222,28.5,77.2,2020-11,104.0
223,28.5,77.2,2021-01,104.0
224,28.5,77.2,2021-08,104.0
225,28.5,77.2,2021-11,104.0
226,28.5,77.2,2022-01,104.0
227,28.5,77.2,2022-05,104.0
228,28.5,77.2,2022-08,104.0
229,28.5,77.2,2022-11,104.0
230,28.5,77.0,2020-01,75.0
231,28.5,77.0,2020-08,75.0
232,28.5,77.0,2021-01,75.0
233,28.5,77.0,2022-01,75.0
234,28.5,77.0,2022-05,75.0
235,28.5,77.0,2022-08,75.0
236,28.5,77.0,2022-11,75.0
237,28.5,77.0,2022-12,52.63
238,28.5,77.0,2023-01,30.65
239,28.5,77.0,2023-02,31.47
240,28.5,77.0,2023-03,32.57
241,28.5,77.0,2023-04,33.49
242,28.5,77.0,2023-05,34.5
243,28.5,77.0,2023-06,35.41
244,28.5,77.0,2023-07,36.43
245,28.5,77.0,2023-08,37.4
246,28.5,77.0,2023-09,38.31
247,28.5,77.0,2023-10,39.34
248,28.5,77.0,2023-11,40.23
249,28.5,77.0,2023-12,41.25
250,28.5,77.2,2023-04,33.03
251,28.5,77.2,2023-05,32.69
252,28.5,77.2,2023-06,33.6
253,28.5,77.2,2023-07,34.61
254,28.5,77.2,2023-08,35.58
255,28.5,77.2,2023-09,36.61
256,28.5,77.2,2023-10,37.36
257,28.5,77.2,2023-11,38.43
258,28.5,77.2,2023-12,39.44
259,28.5,77.0,2022-11,53.72
260,28.5,77.0,2022-12,53.6
261,28.5,77.0,2023-01,31.69
262,28.5,77.0,2023-02,32.5
263,28.5,77.0,2023-03,33.61
264,28.5,77.0,2023-04,34.51
265,28.5,77.0,2023-05,35.52
266,28.5,77.0,2023-06,36.43
267,28.5,77.0,2023-07,37.44
268,28.5,77.0,2023-08,38.41
269,28.5,77.0,2023-09,39.46
270,28.5,77.0,2023-10,40.22
271,28.5,77.0,2023-11,41.26
272,28.5,77.0,2023-12,42.26
273,28.5,77.0,2020-11,105.0
274,28.5,77.0,2021-01,105.0
275,28.5,77.0,2021-11,105.0
276,28.5,77.0,2022-01,105.0
277,28.5,77.0,2022-05,105.0
278,28.5,77.0,2022-08,105.0
279,28.5,77.0,2022-11,105.0
280,28.5,76.9,2020-01,59.0
281,28.5,76.9,2020-08,59.0
282,28.5,76.9,2023-09,58.0
283,28.5,76.9,2023-10,58.0
284,28.5,76.9,2023-11,58.0
285,28.5,76.9,2023-12,58.0
286,28.5,77.1,2020-01,65.0
287,28.5,77.1,2020-08,65.0
288,28.5,77.1,2020-11,65.0
289,28.5,77.1,2021-01,65.0
290,28.5,77.1,2021-08,65.0
291,28.5,77.1,2021-11,65.0
292,28.5,77.1,2022-01,65.0
293,28.5,77.1,2022-08,65.0
294,28.5,77.1,2022-11,65.0
295,28.5,77.1,2021-01,100.0
296,28.5,77.1,2021-08,100.0
297,28.5,77.1,2022-01,100.0
298,28.5,77.1,2022-05,100.0
299,28.5,77.1,2022-08,100.0
300,28.5,77.1,2022-11,100.0
301,28.5,77.0,2022-11,55.08
302,28.5,77.0,2022-12,54.96
303,28.5,77.0,2023-01,33.06
304,28.5,77.0,2023-02,33.88
305,28.5,77.0,2023-03,34.99
306,28.5,77.0,2023-04,35.91
307,28.5,77.0,2023-05,36.92
308,28.5,77.0,2023-06,37.83
309,28.5,77.0,2023-07,38.85
310,28.5,77.0,2023-08,39.8
311,28.5,77.0,2023-09,40.88
312,28.5,77.0,2023-10,41.62
313,28.5,77.0,2023-11,42.64
314,28.5,77.0,2023-12,43.67
315,28.5,77.0,2020-01,125.0
316,28.5,77.0,2020-08,125.0
317,28.5,77.0,2020-11,125.0
318,28.5,77.0,2021-01,125.0
319,28.5,77.0,2021-08,125.0
320,28.5,77.0,2021-11,125.0
321,28.5,77.0,2022-01,125.0
322,28.5,77.0,2022-05,125.0
323,28.5,77.0,2022-08,125.0
324,28.5,77.0,2022-11,125.0
325,28.5,77.3,2023-05,35.63
326,28.5,77.3,2023-06,35.77
327,28.5,77.3,2023-07,36.79
328,28.5,77.3,2023-08,37.75
329,28.5,77.3,2023-09,38.8
330,28.5,77.3,2023-10,39.53
331,28.5,77.3,2023-11,40.59
332,28.5,77.3,2023-12,41.61
333,28.5,77.3,2020-01,45.0
334,28.5,77.3,2020-08,45.0
335,28.5,77.3,2020-11,45.0
336,28.5,77.3,2021-01,45.0
337,28.5,77.3,2021-08,45.0
338,28.5,77.3,2021-11,45.0
339,28.5,77.3,2022-01,45.0
340,28.5,77.3,2022-05,45.0
341,28.5,77.3,2022-08,45.0
342,28.5,77.3,2022-11,45.0
343,28.5,77.1,2020-01,43.0
344,28.5,77.1,2020-08,43.0
345,28.5,77.1,2020-11,43.0
346,28.5,77.1,2021-01,43.0
347,28.5,77.1,2021-08,43.0
348,28.5,77.1,2021-11,43.0
349,28.5,77.1,2022-01,43.0
350,28.5,77.1,2022-05,43.0
351,28.5,77.1,2022-08,43.0
352,28.5,77.1,2022-11,43.0
353,28.5,77.2,2020-01,12.0
354,28.5,77.2,2020-08,12.0
355,28.5,77.2,2020-11,12.0
356,28.5,77.2,2021-01,12.0
357,28.5,77.2,2021-08,12.0
