latitude,longitude,number_x,tp_mm,month,dataValue,wellDepth,number_y,tmean_C
28.5,77.1,0,0.0,2020-11,32.9,43.0,0,19.058445
28.5,77.2,0,0.0,2020-11,53.01,150.0,0,18.975176
28.5,77.2,0,0.0,2020-11,30.75,104.0,0,18.975176
28.5,77.2,0,0.0,2020-11,4.24,12.0,0,18.975176
28.5,77.3,0,0.0,2020-11,9.47,75.0,0,18.85111
28.5,77.3,0,0.0,2020-11,11.0,45.0,0,18.85111
28.4,77.1,0,0.0,2020-11,42.76,100.0,0,19.154623
28.4,77.1,0,0.0,2020-11,65.16,82.0,0,19.154623
28.4,77.1,0,0.0,2020-11,63.75,90.0,0,19.154623
28.4,77.2,0,0.0,2020-11,21.01,35.0,0,19.13992
28.4,77.2,0,0.0,2020-11,49.25,86.5,0,19.13992
28.8,77.0,0,0.0,2021-01,1.96,100.0,0,13.433441
28.8,77.0,0,0.0,2021-01,1.92,50.0,0,13.433441
28.8,77.0,0,0.0,2021-01,23.54,47.0,0,13.433441
28.8,77.1,0,0.0,2021-01,11.42,80.0,0,13.440136
28.8,77.2,0,0.0,2021-01,8.97,200.0,0,13.467385
28.8,77.2,0,0.0,2021-01,7.59,65.0,0,13.467385
28.8,77.2,0,0.0,2021-01,8.05,85.0,0,13.467385
28.8,77.2,0,0.0,2021-01,11.52,101.0,0,13.467385
28.5,76.9,0,0.0,2021-01,1.37,28.0,0,13.713296
28.5,76.9,0,0.0,2021-01,8.56,100.0,0,13.713296
28.5,76.9,0,0.0,2021-01,8.46,40.0,0,13.713296
28.5,76.9,0,0.0,2021-01,3.38,80.0,0,13.713296
28.5,76.9,0,0.0,2021-01,1.53,15.0,0,13.713296
28.5,76.9,0,0.0,2021-01,13.68,100.0,0,13.713296
28.5,77.0,0,0.0,2021-01,11.91,75.0,0,13.698771
28.5,77.0,0,0.0,2021-01,17.43,105.0,0,13.698771
28.5,77.0,0,0.0,2021-01,20.97,125.0,0,13.698771
28.5,77.1,0,0.0,2021-01,16.19,55.0,0,13.740078
28.5,77.1,0,0.0,2021-01,16.95,100.0,0,13.740078
28.5,77.1,0,0.0,2021-01,3.85,20.0,0,13.740078
28.5,77.1,0,0.0,2021-01,47.6,65.0,0,13.740078
28.5,77.1,0,0.0,2021-01,15.68,100.0,0,13.740078
28.5,77.1,0,0.0,2021-01,31.91,43.0,0,13.740078
28.5,77.2,0,0.0,2021-01,44.82,94.5,0,13.763745
28.5,77.2,0,0.0,2021-01,28.89,104.0,0,13.763745
28.5,77.2,0,0.0,2021-01,3.92,12.0,0,13.763745
28.5,77.3,0,0.0,2021-01,8.2,75.0,0,13.756496
28.5,77.3,0,0.0,2021-01,10.45,45.0,0,13.756496
28.4,77.1,0,0.0,2021-01,54.0,65.0,0,13.806959
28.4,77.1,0,0.0,2021-01,41.99,100.0,0,13.806959
28.4,77.1,0,0.0,2021-01,65.47,82.0,0,13.806959
28.4,77.1,0,0.0,2021-01,63.88,90.0,0,13.806959
28.4,77.2,0,0.0,2021-01,21.83,35.0,0,13.863176
28.4,77.2,0,0.0,2021-01,50.78,86.5,0,13.863176
28.8,77.0,0,0.0,2021-08,0.66,100.0,0,29.342041
28.8,77.0,0,0.0,2021-08,1.78,8.6,0,29.342041
28.8,77.0,0,0.0,2021-08,5.24,50.0,0,29.342041
28.8,77.0,0,0.0,2021-08,23.8,25.0,0,29.342041
28.8,77.1,0,0.0,2021-08,10.68,80.0,0,29.230164
28.8,77.1,0,0.0,2021-08,21.78,45.0,0,29.230164
28.8,77.2,0,0.0,2021-08,7.58,65.0,0,29.110924
28.8,77.2,0,0.0,2021-08,7.72,85.0,0,29.110924
28.8,77.2,0,0.0,2021-08,11.7,101.0,0,29.110924
28.5,76.9,0,0.0,2021-08,0.82,80.0,0,29.58995
28.5,76.9,0,0.0,2021-08,0.6,28.0,0,29.58995
28.5,76.9,0,0.0,2021-08,8.1,100.0,0,29.58995
28.5,76.9,0,0.0,2021-08,7.93,40.0,0,29.58995
28.5,76.9,0,0.0,2021-08,0.9,15.0,0,29.58995
28.5,76.9,0,0.0,2021-08,12.36,100.0,0,29.58995
28.5,77.0,0,0.0,2021-08,20.34,125.0,0,29.349886
28.5,77.1,0,0.0,2021-08,15.2,55.0,0,29.180279
28.5,77.1,0,0.0,2021-08,12.83,100.0,0,29.180279
28.5,77.1,0,0.0,2021-08,44.86,65.0,0,29.180279
28.5,77.1,0,0.0,2021-08,9.18,100.0,0,29.180279
28.5,77.1,0,0.0,2021-08,33.05,43.0,0,29.180279
28.5,77.2,0,0.0,2021-08,51.7,150.0,0,29.137745
28.5,77.2,0,0.0,2021-08,43.05,94.5,0,29.137745
28.5,77.2,0,0.0,2021-08,27.68,104.0,0,29.137745
28.5,77.2,0,0.0,2021-08,2.63,12.0,0,29.137745
28.5,77.3,0,0.0,2021-08,8.57,75.0,0,29.100613
28.5,77.3,0,0.0,2021-08,10.79,45.0,0,29.100613
28.4,77.1,0,0.0,2021-08,53.6,65.0,0,29.053745
28.4,77.1,0,0.0,2021-08,40.76,100.0,0,29.053745
28.4,77.1,0,0.0,2021-08,65.48,82.0,0,29.053745
28.4,77.1,0,0.0,2021-08,63.61,90.0,0,29.053745
28.4,77.2,0,0.0,2021-08,11.45,35.0,0,29.094181
28.4,77.2,0,0.0,2021-08,54.61,86.5,0,29.094181
28.8,77.0,0,0.0,2021-11,0.94,100.0,0,18.924595
28.8,77.0,0,0.0,2021-11,1.3,8.6,0,18.924595
28.8,77.0,0,0.0,2021-11,2.13,50.0,0,18.924595
28.8,77.0,0,0.0,2021-11,19.78,47.0,0,18.924595
28.8,77.1,0,0.0,2021-11,8.3,80.0,0,18.800451
28.8,77.2,0,0.0,2021-11,7.2,85.0,0,18.71657
28.8,77.2,0,0.0,2021-11,9.8,101.0,0,18.71657
28.5,76.9,0,0.0,2021-11,0.85,80.0,0,19.487726
28.5,76.9,0,0.0,2021-11,0.88,28.0,0,19.487726
28.5,76.9,0,0.0,2021-11,2.4,15.0,0,19.487726
28.5,76.9,0,0.0,2021-11,11.31,100.0,0,19.487726
28.5,77.0,0,0.0,2021-11,13.3,105.0,0,19.295254
28.5,77.0,0,0.0,2021-11,19.39,125.0,0,19.295254
28.5,77.1,0,0.0,2021-11,13.6,55.0,0,19.162169
28.5,77.1,0,0.0,2021-11,7.94,100.0,0,19.162169
28.5,77.1,0,0.0,2021-11,0.51,20.0,0,19.162169
28.5,77.1,0,0.0,2021-11,43.76,65.0,0,19.162169
28.5,77.1,0,0.0,2021-11,32.54,43.0,0,19.162169
28.5,77.2,0,0.0,2021-11,47.84,150.0,0,19.060375
28.5,77.2,0,0.0,2021-11,42.3,94.5,0,19.060375
28.5,77.2,0,0.0,2021-11,26.72,104.0,0,19.060375
28.5,77.3,0,0.0,2021-11,6.76,75.0,0,18.982353
28.5,77.3,0,0.0,2021-11,10.51,45.0,0,18.982353
28.4,77.1,0,0.0,2021-11,53.88,65.0,0,19.157732
28.4,77.1,0,0.0,2021-11,65.67,82.0,0,19.157732
28.4,77.2,0,0.0,2021-11,14.44,35.0,0,19.185427
28.4,77.2,0,0.0,2021-11,40.55,86.5,0,19.185427
28.8,77.0,0,0.0,2022-01,1.39,100.0,0,12.6836605
28.8,77.0,0,0.0,2022-01,2.03,8.6,0,12.6836605
28.8,77.0,0,0.0,2022-01,2.46,50.0,0,12.6836605
28.8,77.0,0,0.0,2022-01,24.75,47.0,0,12.6836605
28.8,77.1,0,0.0,2022-01,18.29,45.0,0,12.679148
28.8,77.2,0,0.0,2022-01,7.89,200.0,0,12.690835
28.8,77.2,0,0.0,2022-01,6.54,65.0,0,12.690835
28.8,77.2,0,0.0,2022-01,7.98,85.0,0,12.690835
28.8,77.2,0,0.0,2022-01,9.5,101.0,0,12.690835
28.5,76.9,0,0.0,2022-01,1.45,28.0,0,12.840097
28.5,76.9,0,0.0,2022-01,7.38,100.0,0,12.840097
28.5,76.9,0,0.0,2022-01,7.42,40.0,0,12.840097
28.5,76.9,0,0.0,2022-01,1.85,15.0,0,12.840097
28.5,76.9,0,0.0,2022-01,11.06,100.0,0,12.840097
28.5,77.0,0,0.0,2022-01,8.35,75.0,0,12.764224
28.5,77.0,0,0.0,2022-01,14.21,105.0,0,12.764224
28.5,77.0,0,0.0,2022-01,18.73,125.0,0,12.764224
28.5,77.1,0,0.0,2022-01,12.54,55.0,0,12.753055
28.5,77.1,0,0.0,2022-01,10.1,100.0,0,12.753055
28.5,77.1,0,0.0,2022-01,1.9,20.0,0,12.753055
28.5,77.1,0,0.0,2022-01,43.79,65.0,0,12.753055
28.5,77.1,0,0.0,2022-01,13.43,100.0,0,12.753055
28.5,77.1,0,0.0,2022-01,32.06,43.0,0,12.753055
28.5,77.2,0,0.0,2022-01,47.56,150.0,0,12.772998
28.5,77.2,0,0.0,2022-01,41.1,94.5,0,12.772998
28.5,77.2,0,0.0,2022-01,25.49,104.0,0,12.772998
28.5,77.2,0,0.0,2022-01,2.9,12.0,0,12.772998
28.5,77.3,0,0.0,2022-01,8.4,75.0,0,12.776696
28.5,77.3,0,0.0,2022-01,10.25,45.0,0,12.776696
28.4,77.1,0,0.0,2022-01,65.0,65.0,0,12.668531
28.4,77.1,0,0.0,2022-01,41.13,100.0,0,12.668531
28.4,77.1,0,0.0,2022-01,65.54,82.0,0,12.668531
28.4,77.1,0,0.0,2022-01,63.88,90.0,0,12.668531
28.4,77.2,0,0.0,2022-01,19.27,35.0,0,12.760604
28.4,77.2,0,0.0,2022-01,43.89,86.5,0,12.760604
28.8,77.0,0,0.0,2022-05,2.3,100.0,0,32.15535
28.8,77.0,0,0.0,2022-05,3.73,8.6,0,32.15535
28.8,77.0,0,0.0,2022-05,3.89,50.0,0,32.15535
28.8,77.0,0,0.0,2022-05,18.55,47.0,0,32.15535
28.8,77.1,0,0.0,2022-05,8.79,80.0,0,31.939905
28.8,77.1,0,0.0,2022-05,18.0,45.0,0,31.939905
28.8,77.2,0,0.0,2022-05,8.41,200.0,0,31.749407
28.8,77.2,0,0.0,2022-05,7.05,65.0,0,31.749407
28.8,77.2,0,0.0,2022-05,8.08,85.0,0,31.749407
28.8,77.2,0,0.0,2022-05,9.75,101.0,0,31.749407
28.5,76.9,0,0.0,2022-05,1.68,28.0,0,33.15442
28.5,76.9,0,0.0,2022-05,7.43,100.0,0,33.15442
28.5,76.9,0,0.0,2022-05,7.28,40.0,0,33.15442
28.5,76.9,0,0.0,2022-05,1.27,15.0,0,33.15442
28.5,76.9,0,0.0,2022-05,10.8,100.0,0,33.15442
28.5,77.0,0,0.0,2022-05,9.2,75.0,0,32.79866
28.5,77.0,0,0.0,2022-05,15.3,105.0,0,32.79866
28.5,77.0,0,0.0,2022-05,17.86,125.0,0,32.79866
28.5,77.1,0,0.0,2022-05,15.42,55.0,0,32.52179
28.5,77.1,0,0.0,2022-05,12.4,100.0,0,32.52179
28.5,77.1,0,0.0,2022-05,3.29,20.0,0,32.52179
28.5,77.1,0,0.0,2022-05,14.0,100.0,0,32.52179
28.5,77.1,0,0.0,2022-05,31.79,43.0,0,32.52179
28.5,77.2,0,0.0,2022-05,49.48,150.0,0,32.386158
28.5,77.2,0,0.0,2022-05,39.53,94.5,0,32.386158
28.5,77.2,0,0.0,2022-05,24.7,104.0,0,32.386158
28.5,77.2,0,0.0,2022-05,3.7,12.0,0,32.386158
28.5,77.3,0,0.0,2022-05,9.32,75.0,0,32.19028
28.5,77.3,0,0.0,2022-05,22.34,75.0,0,32.19028
28.5,77.3,0,0.0,2022-05,10.3,45.0,0,32.19028
28.4,77.1,0,0.0,2022-05,53.34,65.0,0,32.67468
28.4,77.1,0,0.0,2022-05,41.37,100.0,0,32.67468
28.4,77.1,0,0.0,2022-05,66.01,82.0,0,32.67468
28.4,77.1,0,0.0,2022-05,64.37,90.0,0,32.67468
28.4,77.2,0,0.0,2022-05,23.08,35.0,0,32.544926
28.4,77.2,0,0.0,2022-05,10.95,100.0,0,32.544926
28.4,77.2,0,0.0,2022-05,48.64,86.5,0,32.544926
28.8,77.0,0,0.0,2022-08,1.58,100.0,0,28.743864
28.8,77.0,0,0.0,2022-08,2.57,8.6,0,28.743864
28.8,77.0,0,0.0,2022-08,1.64,50.0,0,28.743864
28.8,77.0,0,0.0,2022-08,20.33,47.0,0,28.743864
28.8,77.1,0,0.0,2022-08,9.75,80.0,0,28.700174
28.8,77.1,0,0.0,2022-08,19.07,45.0,0,28.700174
28.8,77.2,0,0.0,2022-08,9.05,200.0,0,28.64815
28.8,77.2,0,0.0,2022-08,7.32,65.0,0,28.64815
28.8,77.2,0,0.0,2022-08,8.18,85.0,0,28.64815
28.8,77.2,0,0.0,2022-08,10.46,101.0,0,28.64815
28.5,76.9,0,0.0,2022-08,0.79,28.0,0,28.925064
28.5,76.9,0,0.0,2022-08,7.36,100.0,0,28.925064
28.5,76.9,0,0.0,2022-08,7.22,40.0,0,28.925064
28.5,76.9,0,0.0,2022-08,0.97,15.0,0,28.925064
28.5,76.9,0,0.0,2022-08,10.69,100.0,0,28.925064
28.5,77.0,0,0.0,2022-08,7.37,75.0,0,28.78256
28.5,77.0,0,0.0,2022-08,14.39,105.0,0,28.78256
28.5,77.0,0,0.0,2022-08,16.85,125.0,0,28.78256
28.5,77.1,0,0.0,2022-08,13.21,55.0,0,28.69958
28.5,77.1,0,0.0,2022-08,13.41,100.0,0,28.69958
28.5,77.1,0,0.0,2022-08,2.97,20.0,0,28.69958
28.5,77.1,0,0.0,2022-08,51.03,65.0,0,28.69958
28.5,77.1,0,0.0,2022-08,14.61,100.0,0,28.69958
28.5,77.1,0,0.0,2022-08,32.37,43.0,0,28.69958
28.5,77.2,0,0.0,2022-08,48.59,150.0,0,28.739376
28.5,77.2,0,0.0,2022-08,24.5,104.0,0,28.739376
28.5,77.2,0,0.0,2022-08,2.48,12.0,0,28.739376
28.5,77.3,0,0.0,2022-08,8.6,75.0,0,28.776436
28.5,77.3,0,0.0,2022-08,10.27,45.0,0,28.776436
28.4,77.1,0,0.0,2022-08,52.68,65.0,0,28.607277
28.4,77.1,0,0.0,2022-08,40.96,100.0,0,28.607277
28.4,77.1,0,0.0,2022-08,66.51,82.0,0,28.607277
28.4,77.1,0,0.0,2022-08,62.07,90.0,0,28.607277
28.4,77.2,0,0.0,2022-08,14.81,35.0,0,28.741247
28.4,77.2,0,0.0,2022-08,48.24,86.5,0,28.741247
28.8,77.0,0,0.0,2022-11,1.69,100.0,0,19.87709
28.8,77.0,0,0.0,2022-11,2.08,8.6,0,19.87709
28.8,77.0,0,0.0,2022-11,2.62,50.0,0,19.87709
28.8,77.0,0,0.0,2022-11,19.84,47.0,0,19.87709
28.8,77.1,0,0.0,2022-11,8.93,80.0,0,19.780182
28.8,77.1,0,0.0,2022-11,19.02,45.0,0,19.780182
28.8,77.2,0,0.0,2022-11,8.62,200.0,0,19.708948
28.8,77.2,0,0.0,2022-11,6.47,65.0,0,19.708948
28.8,77.2,0,0.0,2022-11,8.62,85.0,0,19.708948
28.8,77.2,0,0.0,2022-11,9.2,101.0,0,19.708948
28.5,76.9,0,0.0,2022-11,0.84,28.0,0,20.247078
28.5,76.9,0,0.0,2022-11,6.33,100.0,0,20.247078
28.5,76.9,0,0.0,2022-11,6.12,40.0,0,20.247078
28.5,76.9,0,0.0,2022-11,2.58,15.0,0,20.247078
28.5,76.9,0,0.0,2022-11,10.62,100.0,0,20.247078
28.5,77.0,0,0.0,2022-11,7.52,75.0,0,20.11696
28.5,77.0,0,0.0,2022-11,-13.89,,0,20.11696
28.5,77.0,0,0.0,2022-11,13.14,105.0,0,20.11696
28.5,77.0,0,0.0,2022-11,-15.56,,0,20.11696
28.5,77.0,0,0.0,2022-11,14.15,125.0,0,20.11696
28.5,77.1,0,0.0,2022-11,13.65,55.0,0,20.030918
28.5,77.1,0,0.0,2022-11,13.08,100.0,0,20.030918
28.5,77.1,0,0.0,2022-11,2.66,20.0,0,20.030918
28.5,77.1,0,0.0,2022-11,43.04,65.0,0,20.030918
28.5,77.1,0,0.0,2022-11,14.26,100.0,0,20.030918
28.5,77.1,0,0.0,2022-11,31.68,43.0,0,20.030918
