latitude,longitude,soil_type,month
28.5,77.4,2.0,2021-04
28.3,76.7,3.0,2021-04
28.3,76.9,3.0,2021-04
28.3,77.2,2.0,2021-04
28.3,77.4,2.0,2021-04
28.8,76.7,2.0,2021-05
28.8,76.9,2.0,2021-05
28.8,77.2,2.0,2021-05
28.8,77.4,2.0,2021-05
28.5,76.7,3.0,2021-05
28.5,76.9,3.0,2021-05
28.5,77.2,2.0,2021-05
28.5,77.4,2.0,2021-05
28.3,76.7,3.0,2021-05
28.3,76.9,3.0,2021-05
28.3,77.2,2.0,2021-05
28.3,77.4,2.0,2021-05
28.8,76.7,2.0,2021-06
28.8,76.9,2.0,2021-06
28.8,77.2,2.0,2021-06
28.8,77.4,2.0,2021-06
28.5,76.7,3.0,2021-06
28.5,76.9,3.0,2021-06
28.5,77.2,2.0,2021-06
28.5,77.4,2.0,2021-06
28.3,76.7,3.0,2021-06
28.3,76.9,3.0,2021-06
28.3,77.2,2.0,2021-06
28.3,77.4,2.0,2021-06
28.8,76.7,2.0,2021-07
28.8,76.9,2.0,2021-07
28.8,77.2,2.0,2021-07
28.8,77.4,2.0,2021-07
28.5,76.7,3.0,2021-07
28.5,76.9,3.0,2021-07
28.5,77.2,2.0,2021-07
28.5,77.4,2.0,2021-07
28.3,76.7,3.0,2021-07
28.3,76.9,3.0,2021-07
28.3,77.2,2.0,2021-07
28.3,77.4,2.0,2021-07
28.8,76.7,2.0,2021-08
28.8,76.9,2.0,2021-08
28.8,77.2,2.0,2021-08
28.8,77.4,2.0,2021-08
28.5,76.7,3.0,2021-08
28.5,76.9,3.0,2021-08
28.5,77.2,2.0,2021-08
28.5,77.4,2.0,2021-08
28.3,76.7,3.0,2021-08
28.3,76.9,3.0,2021-08
28.3,77.2,2.0,2021-08
28.3,77.4,2.0,2021-08
28.8,76.7,2.0,2021-09
28.8,76.9,2.0,2021-09
28.8,77.2,2.0,2021-09
28.8,77.4,2.0,2021-09
28.5,76.7,3.0,2021-09
28.5,76.9,3.0,2021-09
28.5,77.2,2.0,2021-09
28.5,77.4,2.0,2021-09
28.3,76.7,3.0,2021-09
28.3,76.9,3.0,2021-09
28.3,77.2,2.0,2021-09
28.3,77.4,2.0,2021-09
28.8,76.7,2.0,2021-10
28.8,76.9,2.0,2021-10
28.8,77.2,2.0,2021-10
28.8,77.4,2.0,2021-10
28.5,76.7,3.0,2021-10
28.5,76.9,3.0,2021-10
28.5,77.2,2.0,2021-10
28.5,77.4,2.0,2021-10
28.3,76.7,3.0,2021-10
28.3,76.9,3.0,2021-10
28.3,77.2,2.0,2021-10
28.3,77.4,2.0,2021-10
28.8,76.7,2.0,2021-11
28.8,76.9,2.0,2021-11
28.8,77.2,2.0,2021-11
28.8,77.4,2.0,2021-11
28.5,76.7,3.0,2021-11
28.5,76.9,3.0,2021-11
28.5,77.2,2.0,2021-11
28.5,77.4,2.0,2021-11
28.3,76.7,3.0,2021-11
28.3,76.9,3.0,2021-11
28.3,77.2,2.0,2021-11
28.3,77.4,2.0,2021-11
28.8,76.7,2.0,2021-12
28.8,76.9,2.0,2021-12
28.8,77.2,2.0,2021-12
28.8,77.4,2.0,2021-12
28.5,76.7,3.0,2021-12
28.5,76.9,3.0,2021-12
28.5,77.2,2.0,2021-12
28.5,77.4,2.0,2021-12
28.3,76.7,3.0,2021-12
28.3,76.9,3.0,2021-12
28.3,77.2,2.0,2021-12
28.3,77.4,2.0,2021-12
28.8,76.7,2.0,2022-01
28.8,76.9,2.0,2022-01
28.8,77.2,2.0,2022-01
28.8,77.4,2.0,2022-01
28.5,76.7,3.0,2022-01
28.5,76.9,3.0,2022-01
28.5,77.2,2.0,2022-01
28.5,77.4,2.0,2022-01
28.3,76.7,3.0,2022-01
28.3,76.9,3.0,2022-01
28.3,77.2,2.0,2022-01
28.3,77.4,2.0,2022-01
28.8,76.7,2.0,2022-02
28.8,76.9,2.0,2022-02
28.8,77.2,2.0,2022-02
28.8,77.4,2.0,2022-02
28.5,76.7,3.0,2022-02
28.5,76.9,3.0,2022-02
28.5,77.2,2.0,2022-02
28.5,77.4,2.0,2022-02
28.3,76.7,3.0,2022-02
28.3,76.9,3.0,2022-02
28.3,77.2,2.0,2022-02
28.3,77.4,2.0,2022-02
28.8,76.7,2.0,2022-03
28.8,76.9,2.0,2022-03
28.8,77.2,2.0,2022-03
28.8,77.4,2.0,2022-03
28.5,76.7,3.0,2022-03
28.5,76.9,3.0,2022-03
28.5,77.2,2.0,2022-03
28.5,77.4,2.0,2022-03
28.3,76.7,3.0,2022-03
28.3,76.9,3.0,2022-03
28.3,77.2,2.0,2022-03
28.3,77.4,2.0,2022-03
28.8,76.7,2.0,2022-04
28.8,76.9,2.0,2022-04
28.8,77.2,2.0,2022-04
28.8,77.4,2.0,2022-04
28.5,76.7,3.0,2022-04
28.5,76.9,3.0,2022-04
28.5,77.2,2.0,2022-04
28.5,77.4,2.0,2022-04
28.3,76.7,3.0,2022-04
28.3,76.9,3.0,2022-04
28.3,77.2,2.0,2022-04
28.3,77.4,2.0,2022-04
28.8,76.7,2.0,2022-05
28.8,76.9,2.0,2022-05
28.8,77.2,2.0,2022-05
28.8,77.4,2.0,2022-05
28.5,76.7,3.0,2022-05
28.5,76.9,3.0,2022-05
28.5,77.2,2.0,2022-05
28.5,77.4,2.0,2022-05
28.3,76.7,3.0,2022-05
28.3,76.9,3.0,2022-05
28.3,77.2,2.0,2022-05
28.3,77.4,2.0,2022-05
28.8,76.7,2.0,2022-06
28.8,76.9,2.0,2022-06
28.8,77.2,2.0,2022-06
28.8,77.4,2.0,2022-06
28.5,76.7,3.0,2022-06
28.5,76.9,3.0,2022-06
28.5,77.2,2.0,2022-06
28.5,77.4,2.0,2022-06
28.3,76.7,3.0,2022-06
28.3,76.9,3.0,2022-06
28.3,77.2,2.0,2022-06
28.3,77.4,2.0,2022-06
28.8,76.7,2.0,2022-07
28.8,76.9,2.0,2022-07
28.8,77.2,2.0,2022-07
28.8,77.4,2.0,2022-07
28.5,76.7,3.0,2022-07
28.5,76.9,3.0,2022-07
28.5,77.2,2.0,2022-07
28.5,77.4,2.0,2022-07
28.3,76.7,3.0,2022-07
28.3,76.9,3.0,2022-07
28.3,77.2,2.0,2022-07
28.3,77.4,2.0,2022-07
28.8,76.7,2.0,2022-08
