latitude,longitude,number,tp_mm,month,dataValue,wellDepth
28.7,77.1,0,0.0,2020-11,7.82,75.0
28.7,77.2,0,0.0,2020-11,10.58,25.0
28.7,77.2,0,0.0,2020-11,3.06,50.0
28.7,77.2,0,0.0,2020-11,9.86,45.0
28.5,76.9,0,0.0,2020-11,2.37,28.0
28.5,76.9,0,0.0,2020-11,10.1,100.0
28.5,76.9,0,0.0,2020-11,9.92,40.0
28.5,76.9,0,0.0,2020-11,2.87,80.0
28.5,76.9,0,0.0,2020-11,2.47,15.0
28.5,76.9,0,0.0,2020-11,13.84,100.0
28.5,77.0,0,0.0,2020-11,18.4,105.0
28.5,77.0,0,0.0,2020-11,22.08,125.0
28.5,77.1,0,0.0,2020-11,19.25,55.0
28.5,77.1,0,0.0,2020-11,16.4,100.0
28.5,77.1,0,0.0,2020-11,4.58,20.0
28.5,77.1,0,0.0,2020-11,48.0,65.0
28.5,77.1,0,0.0,2020-11,32.9,43.0
28.5,77.2,0,0.0,2020-11,53.01,150.0
28.5,77.2,0,0.0,2020-11,30.75,104.0
28.5,77.2,0,0.0,2020-11,4.24,12.0
28.5,77.3,0,0.0,2020-11,9.47,75.0
28.5,77.3,0,0.0,2020-11,11.0,45.0
28.4,77.1,0,0.0,2020-11,42.76,100.0
28.4,77.1,0,0.0,2020-11,65.16,82.0
28.4,77.1,0,0.0,2020-11,63.75,90.0
28.4,77.2,0,0.0,2020-11,21.01,35.0
28.4,77.2,0,0.0,2020-11,49.25,86.5
28.8,77.0,0,0.0,2021-01,1.96,100.0
28.8,77.0,0,0.0,2021-01,1.92,50.0
28.8,77.0,0,0.0,2021-01,23.54,47.0
28.8,77.1,0,0.0,2021-01,11.42,80.0
28.8,77.2,0,0.0,2021-01,8.97,200.0
28.8,77.2,0,0.0,2021-01,7.59,65.0
28.8,77.2,0,0.0,2021-01,8.05,85.0
28.8,77.2,0,0.0,2021-01,11.52,101.0
28.7,76.9,0,0.0,2021-01,6.89,32.0
28.7,76.9,0,0.0,2021-01,11.98,21.2
28.7,77.0,0,0.0,2021-01,0.57,10.0
28.7,77.0,0,0.0,2021-01,1.07,27.0
28.7,77.0,0,0.0,2021-01,2.99,54.0
28.7,77.0,0,0.0,2021-01,6.47,250.75
28.7,77.0,0,0.0,2021-01,9.01,15.9
28.7,77.1,0,0.0,2021-01,12.78,100.0
28.7,77.1,0,0.0,2021-01,5.38,80.0
28.7,77.1,0,0.0,2021-01,1.66,100.0
28.7,77.1,0,0.0,2021-01,6.96,75.0
28.7,77.2,0,0.0,2021-01,8.45,25.0
28.7,77.2,0,0.0,2021-01,1.86,50.0
28.7,77.2,0,0.0,2021-01,9.54,45.0
28.5,76.9,0,0.0,2021-01,1.37,28.0
28.5,76.9,0,0.0,2021-01,8.56,100.0
28.5,76.9,0,0.0,2021-01,8.46,40.0
28.5,76.9,0,0.0,2021-01,3.38,80.0
28.5,76.9,0,0.0,2021-01,1.53,15.0
28.5,76.9,0,0.0,2021-01,13.68,100.0
28.5,77.0,0,0.0,2021-01,11.91,75.0
28.5,77.0,0,0.0,2021-01,17.43,105.0
28.5,77.0,0,0.0,2021-01,20.97,125.0
28.5,77.1,0,0.0,2021-01,16.19,55.0
28.5,77.1,0,0.0,2021-01,16.95,100.0
28.5,77.1,0,0.0,2021-01,3.85,20.0
28.5,77.1,0,0.0,2021-01,47.6,65.0
28.5,77.1,0,0.0,2021-01,15.68,100.0
28.5,77.1,0,0.0,2021-01,31.91,43.0
28.5,77.2,0,0.0,2021-01,44.82,94.5
28.5,77.2,0,0.0,2021-01,28.89,104.0
28.5,77.2,0,0.0,2021-01,3.92,12.0
28.5,77.3,0,0.0,2021-01,8.2,75.0
28.5,77.3,0,0.0,2021-01,10.45,45.0
28.4,77.1,0,0.0,2021-01,54.0,65.0
28.4,77.1,0,0.0,2021-01,41.99,100.0
28.4,77.1,0,0.0,2021-01,65.47,82.0
28.4,77.1,0,0.0,2021-01,63.88,90.0
28.4,77.2,0,0.0,2021-01,21.83,35.0
28.4,77.2,0,0.0,2021-01,50.78,86.5
28.8,77.0,0,0.0,2021-08,0.66,100.0
28.8,77.0,0,0.0,2021-08,1.78,8.6
28.8,77.0,0,0.0,2021-08,5.24,50.0
28.8,77.0,0,0.0,2021-08,23.8,25.0
28.8,77.1,0,0.0,2021-08,10.68,80.0
28.8,77.1,0,0.0,2021-08,21.78,45.0
28.8,77.2,0,0.0,2021-08,7.58,65.0
28.8,77.2,0,0.0,2021-08,7.72,85.0
28.8,77.2,0,0.0,2021-08,11.7,101.0
28.7,76.9,0,0.0,2021-08,13.3,21.2
28.7,77.0,0,0.0,2021-08,0.52,10.0
28.7,77.0,0,0.0,2021-08,0.38,27.0
28.7,77.0,0,0.0,2021-08,1.03,54.0
28.7,77.0,0,0.0,2021-08,6.26,25.0
28.7,77.1,0,0.0,2021-08,12.9,100.0
28.7,77.1,0,0.0,2021-08,4.3,80.0
28.7,77.1,0,0.0,2021-08,6.4,75.0
28.7,77.2,0,0.0,2021-08,8.07,25.0
28.7,77.2,0,0.0,2021-08,0.31,50.0
28.7,77.2,0,0.0,2021-08,7.82,45.0
28.5,76.9,0,0.0,2021-08,0.82,80.0
28.5,76.9,0,0.0,2021-08,0.6,28.0
28.5,76.9,0,0.0,2021-08,8.1,100.0
28.5,76.9,0,0.0,2021-08,7.93,40.0
28.5,76.9,0,0.0,2021-08,0.9,15.0
28.5,76.9,0,0.0,2021-08,12.36,100.0
28.5,77.0,0,0.0,2021-08,20.34,125.0
28.5,77.1,0,0.0,2021-08,15.2,55.0
28.5,77.1,0,0.0,2021-08,12.83,100.0
28.5,77.1,0,0.0,2021-08,44.86,65.0
28.5,77.1,0,0.0,2021-08,9.18,100.0
28.5,77.1,0,0.0,2021-08,33.05,43.0
28.5,77.2,0,0.0,2021-08,51.7,150.0
28.5,77.2,0,0.0,2021-08,43.05,94.5
28.5,77.2,0,0.0,2021-08,27.68,104.0
28.5,77.2,0,0.0,2021-08,2.63,12.0
28.5,77.3,0,0.0,2021-08,8.57,75.0
28.5,77.3,0,0.0,2021-08,10.79,45.0
28.4,77.1,0,0.0,2021-08,53.6,65.0
28.4,77.1,0,0.0,2021-08,40.76,100.0
28.4,77.1,0,0.0,2021-08,65.48,82.0
28.4,77.1,0,0.0,2021-08,63.61,90.0
28.4,77.2,0,0.0,2021-08,11.45,35.0
28.4,77.2,0,0.0,2021-08,54.61,86.5
28.8,77.0,0,0.0,2021-11,0.94,100.0
28.8,77.0,0,0.0,2021-11,1.3,8.6
28.8,77.0,0,0.0,2021-11,2.13,50.0
28.8,77.0,0,0.0,2021-11,19.78,47.0
28.8,77.1,0,0.0,2021-11,8.3,80.0
28.8,77.2,0,0.0,2021-11,7.2,85.0
28.8,77.2,0,0.0,2021-11,9.8,101.0
28.7,76.9,0,0.0,2021-11,4.39,32.0
28.7,76.9,0,0.0,2021-11,12.1,21.2
28.7,77.0,0,0.0,2021-11,0.22,10.0
28.7,77.0,0,0.0,2021-11,0.63,27.0
28.7,77.0,0,0.0,2021-11,0.93,54.0
28.7,77.0,0,0.0,2021-11,4.79,250.75
28.7,77.0,0,0.0,2021-11,6.09,15.9
28.7,77.1,0,0.0,2021-11,12.22,100.0
28.7,77.1,0,0.0,2021-11,3.42,80.0
28.7,77.1,0,0.0,2021-11,0.9,100.0
28.7,77.1,0,0.0,2021-11,4.52,75.0
28.7,77.2,0,0.0,2021-11,8.26,25.0
28.7,77.2,0,0.0,2021-11,0.98,50.0
28.7,77.2,0,0.0,2021-11,8.06,45.0
28.5,76.9,0,0.0,2021-11,0.85,80.0
28.5,76.9,0,0.0,2021-11,0.88,28.0
28.5,76.9,0,0.0,2021-11,2.4,15.0
28.5,76.9,0,0.0,2021-11,11.31,100.0
28.5,77.0,0,0.0,2021-11,13.3,105.0
28.5,77.0,0,0.0,2021-11,19.39,125.0
28.5,77.1,0,0.0,2021-11,13.6,55.0
28.5,77.1,0,0.0,2021-11,7.94,100.0
28.5,77.1,0,0.0,2021-11,0.51,20.0
28.5,77.1,0,0.0,2021-11,43.76,65.0
28.5,77.1,0,0.0,2021-11,32.54,43.0
28.5,77.2,0,0.0,2021-11,47.84,150.0
28.5,77.2,0,0.0,2021-11,42.3,94.5
28.5,77.2,0,0.0,2021-11,26.72,104.0
28.5,77.3,0,0.0,2021-11,6.76,75.0
28.5,77.3,0,0.0,2021-11,10.51,45.0
28.4,77.1,0,0.0,2021-11,53.88,65.0
28.4,77.1,0,0.0,2021-11,65.67,82.0
28.4,77.2,0,0.0,2021-11,14.44,35.0
28.4,77.2,0,0.0,2021-11,40.55,86.5
28.8,77.0,0,0.0,2022-01,1.39,100.0
28.8,77.0,0,0.0,2022-01,2.03,8.6
28.8,77.0,0,0.0,2022-01,2.46,50.0
28.8,77.0,0,0.0,2022-01,24.75,47.0
28.8,77.1,0,0.0,2022-01,18.29,45.0
28.8,77.2,0,0.0,2022-01,7.89,200.0
28.8,77.2,0,0.0,2022-01,6.54,65.0
28.8,77.2,0,0.0,2022-01,7.98,85.0
28.8,77.2,0,0.0,2022-01,9.5,101.0
28.7,76.9,0,0.0,2022-01,4.7,32.0
28.7,76.9,0,0.0,2022-01,11.43,21.2
28.7,77.0,0,0.0,2022-01,0.72,27.0
28.7,77.0,0,0.0,2022-01,0.77,54.0
28.7,77.0,0,0.0,2022-01,4.62,250.75
28.7,77.1,0,0.0,2022-01,11.92,100.0
28.7,77.1,0,0.0,2022-01,4.06,80.0
28.7,77.1,0,0.0,2022-01,1.41,100.0
28.7,77.1,0,0.0,2022-01,4.37,75.0
28.7,77.2,0,0.0,2022-01,7.79,25.0
28.7,77.2,0,0.0,2022-01,9.35,70.0
28.7,77.2,0,0.0,2022-01,1.35,50.0
28.7,77.2,0,0.0,2022-01,3.37,50.0
28.7,77.2,0,0.0,2022-01,7.46,45.0
28.5,76.9,0,0.0,2022-01,1.45,28.0
28.5,76.9,0,0.0,2022-01,7.38,100.0
28.5,76.9,0,0.0,2022-01,7.42,40.0
28.5,76.9,0,0.0,2022-01,1.85,15.0
28.5,76.9,0,0.0,2022-01,11.06,100.0
28.5,77.0,0,0.0,2022-01,8.35,75.0
28.5,77.0,0,0.0,2022-01,14.21,105.0
28.5,77.0,0,0.0,2022-01,18.73,125.0
28.5,77.1,0,0.0,2022-01,12.54,55.0
28.5,77.1,0,0.0,2022-01,10.1,100.0
28.5,77.1,0,0.0,2022-01,1.9,20.0
28.5,77.1,0,0.0,2022-01,43.79,65.0
28.5,77.1,0,0.0,2022-01,13.43,100.0
28.5,77.1,0,0.0,2022-01,32.06,43.0
28.5,77.2,0,0.0,2022-01,47.56,150.0
28.5,77.2,0,0.0,2022-01,41.1,94.5
28.5,77.2,0,0.0,2022-01,25.49,104.0
28.5,77.2,0,0.0,2022-01,2.9,12.0
28.5,77.3,0,0.0,2022-01,8.4,75.0
28.5,77.3,0,0.0,2022-01,10.25,45.0
28.4,77.1,0,0.0,2022-01,65.0,65.0
28.4,77.1,0,0.0,2022-01,41.13,100.0
28.4,77.1,0,0.0,2022-01,65.54,82.0
28.4,77.1,0,0.0,2022-01,63.88,90.0
28.4,77.2,0,0.0,2022-01,19.27,35.0
28.4,77.2,0,0.0,2022-01,43.89,86.5
28.8,77.0,0,0.0,2022-05,2.3,100.0
28.8,77.0,0,0.0,2022-05,3.73,8.6
28.8,77.0,0,0.0,2022-05,3.89,50.0
28.8,77.0,0,0.0,2022-05,18.55,47.0
28.8,77.1,0,0.0,2022-05,8.79,80.0
28.8,77.1,0,0.0,2022-05,18.0,45.0
28.8,77.2,0,0.0,2022-05,8.41,200.0
28.8,77.2,0,0.0,2022-05,7.05,65.0
28.8,77.2,0,0.0,2022-05,8.08,85.0
28.8,77.2,0,0.0,2022-05,9.75,101.0
28.7,76.9,0,0.0,2022-05,5.49,32.0
28.7,76.9,0,0.0,2022-05,11.66,21.2
28.7,77.0,0,0.0,2022-05,1.25,10.0
28.7,77.0,0,0.0,2022-05,1.46,27.0
28.7,77.0,0,0.0,2022-05,2.26,54.0
28.7,77.0,0,0.0,2022-05,4.86,250.75
28.7,77.0,0,0.0,2022-05,8.21,15.9
28.7,77.1,0,0.0,2022-05,12.8,100.0
28.7,77.1,0,0.0,2022-05,4.89,80.0
28.7,77.1,0,0.0,2022-05,4.88,75.0
28.7,77.1,0,0.0,2022-05,11.67,100.0
28.7,77.2,0,0.0,2022-05,14.45,25.0
28.7,77.2,0,0.0,2022-05,11.52,70.0
28.7,77.2,0,0.0,2022-05,2.51,50.0
28.7,77.2,0,0.0,2022-05,3.35,50.0
28.5,76.9,0,0.0,2022-05,1.68,28.0
28.5,76.9,0,0.0,2022-05,7.43,100.0
28.5,76.9,0,0.0,2022-05,7.28,40.0
28.5,76.9,0,0.0,2022-05,1.27,15.0
28.5,76.9,0,0.0,2022-05,10.8,100.0
28.5,77.0,0,0.0,2022-05,9.2,75.0
28.5,77.0,0,0.0,2022-05,15.3,105.0
28.5,77.0,0,0.0,2022-05,17.86,125.0
28.5,77.1,0,0.0,2022-05,15.42,55.0
28.5,77.1,0,0.0,2022-05,12.4,100.0
28.5,77.1,0,0.0,2022-05,3.29,20.0
28.5,77.1,0,0.0,2022-05,14.0,100.0
