Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,pressure_hPa
66,28.5,77.3,0.0,2020-08,7.83,75.0,28.709053,25.35,-2.267713,976.171
67,28.5,77.3,0.0,2020-08,10.16,45.0,28.709053,25.35,-2.267713,976.171
68,28.4,77.1,0.0,2020-08,41.64,100.0,28.69048,25.06,-2.3285568,971.7359
69,28.4,77.1,0.0,2020-08,63.97,82.0,28.69048,25.06,-2.3285568,971.7359
70,28.4,77.1,0.0,2020-08,62.66,90.0,28.69048,25.06,-2.3285568,971.7359
71,28.4,77.2,0.0,2020-08,9.3,35.0,28.7268,25.2,-2.2954,974.05273
72,28.4,77.2,0.0,2020-08,48.67,86.5,28.7268,25.2,-2.2954,974.05273
73,28.8,77.0,0.0,2020-11,3.09,100.0,18.614126,10.16,-0.44025198,991.60175
74,28.8,77.0,0.0,2020-11,3.74,8.6,18.614126,10.16,-0.44025198,991.60175
75,28.8,77.0,0.0,2020-11,25.11,47.0,18.614126,10.16,-0.44025198,991.60175
76,28.8,77.1,0.0,2020-11,13.04,80.0,18.54206,10.28,-0.51954514,991.52246
77,28.8,77.2,0.0,2020-11,10.28,200.0,18.45833,10.37,-0.54773057,991.2062
78,28.8,77.2,0.0,2020-11,8.97,65.0,18.45833,10.37,-0.54773057,991.2062
79,28.8,77.2,0.0,2020-11,9.76,85.0,18.45833,10.37,-0.54773057,991.2062
80,28.8,77.2,0.0,2020-11,12.7,101.0,18.45833,10.37,-0.54773057,991.2062
81,28.5,76.9,0.0,2020-11,2.37,28.0,19.191603,9.37,-0.48749763,992.2519
82,28.5,76.9,0.0,2020-11,10.1,100.0,19.191603,9.37,-0.48749763,992.2519
83,28.5,76.9,0.0,2020-11,9.92,40.0,19.191603,9.37,-0.48749763,992.2519
84,28.5,76.9,0.0,2020-11,2.87,80.0,19.191603,9.37,-0.48749763,992.2519
85,28.5,76.9,0.0,2020-11,2.47,15.0,19.191603,9.37,-0.48749763,992.2519
86,28.5,76.9,0.0,2020-11,13.84,100.0,19.191603,9.37,-0.48749763,992.2519
87,28.5,77.0,0.0,2020-11,18.4,105.0,19.09624,9.44,-0.52540284,990.8177
88,28.5,77.0,0.0,2020-11,22.08,125.0,19.09624,9.44,-0.52540284,990.8177
89,28.5,77.1,0.0,2020-11,19.25,55.0,19.058445,9.49,-0.5485191,989.69775
90,28.5,77.1,0.0,2020-11,16.4,100.0,19.058445,9.49,-0.5485191,989.69775
91,28.5,77.1,0.0,2020-11,4.58,20.0,19.058445,9.49,-0.5485191,989.69775
92,28.5,77.1,0.0,2020-11,48.0,65.0,19.058445,9.49,-0.5485191,989.69775
93,28.5,77.1,0.0,2020-11,32.9,43.0,19.058445,9.49,-0.5485191,989.69775
94,28.5,77.2,0.0,2020-11,53.01,150.0,18.975176,9.69,-0.6819546,990.7806
95,28.5,77.2,0.0,2020-11,30.75,104.0,18.975176,9.69,-0.6819546,990.7806
96,28.5,77.2,0.0,2020-11,4.24,12.0,18.975176,9.69,-0.6819546,990.7806
97,28.5,77.3,0.0,2020-11,9.47,75.0,18.85111,9.99,-0.5868924,992.1889
98,28.5,77.3,0.0,2020-11,11.0,45.0,18.85111,9.99,-0.5868924,992.1889
99,28.4,77.1,0.0,2020-11,42.76,100.0,19.154623,8.98,-0.506636,987.6007
100,28.4,77.1,0.0,2020-11,65.16,82.0,19.154623,8.98,-0.506636,987.6007
101,28.4,77.1,0.0,2020-11,63.75,90.0,19.154623,8.98,-0.506636,987.6007
102,28.4,77.2,0.0,2020-11,21.01,35.0,19.13992,9.37,-0.5826235,990.0029
