,latitude,longitude,d2m_C,month
734,28.9,77.1,10.43,2020-11
735,28.9,77.2,10.49,2020-11
736,28.9,77.3,10.56,2020-11
737,28.9,77.5,10.61,2020-11
738,28.8,76.7,9.63,2020-11
739,28.8,76.8,9.79,2020-11
740,28.8,76.8,9.9,2020-11
741,28.8,76.9,10.02,2020-11
742,28.8,77.0,10.16,2020-11
743,28.8,77.1,10.28,2020-11
744,28.8,77.2,10.37,2020-11
745,28.8,77.3,10.46,2020-11
746,28.8,77.5,10.54,2020-11
747,28.7,76.7,9.57,2020-11
748,28.7,76.8,9.57,2020-11
749,28.7,76.8,9.58,2020-11
750,28.7,76.9,9.71,2020-11
751,28.7,77.0,9.92,2020-11
752,28.7,77.1,10.07,2020-11
753,28.7,77.2,10.04,2020-11
754,28.7,77.3,10.2,2020-11
755,28.7,77.5,10.4,2020-11
756,28.5,76.7,9.37,2020-11
757,28.5,76.8,9.27,2020-11
758,28.5,76.8,9.25,2020-11
759,28.5,76.9,9.37,2020-11
760,28.5,77.0,9.44,2020-11
761,28.5,77.1,9.49,2020-11
762,28.5,77.2,9.69,2020-11
763,28.5,77.3,9.99,2020-11
764,28.5,77.5,10.21,2020-11
765,28.4,76.7,9.07,2020-11
766,28.4,76.8,8.99,2020-11
767,28.4,76.8,8.94,2020-11
768,28.4,76.9,8.99,2020-11
769,28.4,77.0,8.95,2020-11
770,28.4,77.1,8.98,2020-11
771,28.4,77.2,9.37,2020-11
772,28.4,77.3,9.76,2020-11
773,28.4,77.5,9.99,2020-11
774,28.3,76.7,8.98,2020-11
775,28.3,76.8,8.84,2020-11
776,28.3,76.8,8.75,2020-11
777,28.3,76.9,8.78,2020-11
778,28.3,77.0,8.78,2020-11
779,28.3,77.1,8.83,2020-11
780,28.3,77.2,9.1,2020-11
781,28.3,77.3,9.45,2020-11
782,28.3,77.5,9.71,2020-11
783,28.3,76.7,8.92,2020-11
784,28.3,76.8,8.66,2020-11
785,28.3,76.8,8.51,2020-11
786,28.3,76.9,8.55,2020-11
787,28.3,77.0,8.64,2020-11
788,28.3,77.1,8.75,2020-11
789,28.3,77.2,8.92,2020-11
790,28.3,77.3,9.12,2020-11
791,28.3,77.5,9.34,2020-11
792,29.0,76.7,8.06,2020-12
793,29.0,76.8,8.18,2020-12
794,29.0,76.8,8.28,2020-12
795,29.0,76.9,8.39,2020-12
796,29.0,77.0,8.5,2020-12
797,29.0,77.1,8.59,2020-12
798,29.0,77.2,8.6,2020-12
799,29.0,77.3,8.63,2020-12
800,29.0,77.5,8.65,2020-12
801,28.9,76.7,7.97,2020-12
802,28.9,76.8,8.11,2020-12
803,28.9,76.8,8.21,2020-12
804,28.9,76.9,8.31,2020-12
805,28.9,77.0,8.43,2020-12
806,28.9,77.1,8.51,2020-12
807,28.9,77.2,8.56,2020-12
808,28.9,77.3,8.59,2020-12
809,28.9,77.5,8.61,2020-12
810,28.8,76.7,7.86,2020-12
811,28.8,76.8,8.01,2020-12
812,28.8,76.8,8.11,2020-12
813,28.8,76.9,8.21,2020-12
814,28.8,77.0,8.31,2020-12
815,28.8,77.1,8.39,2020-12
816,28.8,77.2,8.45,2020-12
817,28.8,77.3,8.49,2020-12
818,28.8,77.5,8.55,2020-12
819,28.7,76.7,7.8,2020-12
820,28.7,76.8,7.84,2020-12
821,28.7,76.8,7.86,2020-12
822,28.7,76.9,7.93,2020-12
823,28.7,77.0,8.04,2020-12
824,28.7,77.1,8.12,2020-12
825,28.7,77.2,8.14,2020-12
826,28.7,77.3,8.25,2020-12
827,28.7,77.5,8.42,2020-12
828,28.5,76.7,7.64,2020-12
829,28.5,76.8,7.6,2020-12
830,28.5,76.8,7.59,2020-12
831,28.5,76.9,7.65,2020-12
832,28.5,77.0,7.67,2020-12
833,28.5,77.1,7.73,2020-12
834,28.5,77.2,7.86,2020-12
835,28.5,77.3,8.09,2020-12
836,28.5,77.5,8.3,2020-12
837,28.4,76.7,7.39,2020-12
838,28.4,76.8,7.37,2020-12
839,28.4,76.8,7.35,2020-12
840,28.4,76.9,7.36,2020-12
841,28.4,77.0,7.33,2020-12
842,28.4,77.1,7.38,2020-12
843,28.4,77.2,7.67,2020-12
844,28.4,77.3,7.96,2020-12
845,28.4,77.5,8.16,2020-12
846,28.3,76.7,7.27,2020-12
847,28.3,76.8,7.21,2020-12
848,28.3,76.8,7.17,2020-12
849,28.3,76.9,7.17,2020-12
850,28.3,77.0,7.21,2020-12
851,28.3,77.1,7.33,2020-12
852,28.3,77.2,7.55,2020-12
853,28.3,77.3,7.81,2020-12
854,28.3,77.5,8.01,2020-12
855,28.3,76.7,7.14,2020-12
856,28.3,76.8,7.03,2020-12
857,28.3,76.8,6.97,2020-12
858,28.3,76.9,7.04,2020-12
859,28.3,77.0,7.17,2020-12
860,28.3,77.1,7.32,2020-12
861,28.3,77.2,7.49,2020-12
862,28.3,77.3,7.66,2020-12
863,28.3,77.5,7.83,2020-12
864,29.0,76.7,8.83,2021-01
865,29.0,76.8,8.92,2021-01
866,29.0,76.8,8.99,2021-01
867,29.0,76.9,9.05,2021-01
868,29.0,77.0,9.11,2021-01
869,29.0,77.1,9.18,2021-01
870,29.0,77.2,9.18,2021-01
871,29.0,77.3,9.19,2021-01
872,29.0,77.5,9.21,2021-01
873,28.9,76.7,8.78,2021-01
874,28.9,76.8,8.87,2021-01
875,28.9,76.8,8.94,2021-01
876,28.9,76.9,9.0,2021-01
877,28.9,77.0,9.09,2021-01
878,28.9,77.1,9.15,2021-01
879,28.9,77.2,9.18,2021-01
880,28.9,77.3,9.19,2021-01
881,28.9,77.5,9.21,2021-01
882,28.8,76.7,8.73,2021-01
883,28.8,76.8,8.82,2021-01
884,28.8,76.8,8.89,2021-01
885,28.8,76.9,8.96,2021-01
886,28.8,77.0,9.04,2021-01
887,28.8,77.1,9.1,2021-01
888,28.8,77.2,9.13,2021-01
889,28.8,77.3,9.15,2021-01
890,28.8,77.5,9.19,2021-01
891,28.7,76.7,8.71,2021-01
892,28.7,76.8,8.76,2021-01
893,28.7,76.8,8.8,2021-01
894,28.7,76.9,8.86,2021-01
895,28.7,77.0,8.98,2021-01
896,28.7,77.1,9.06,2021-01
897,28.7,77.2,9.0,2021-01
898,28.7,77.3,9.06,2021-01
899,28.7,77.5,9.13,2021-01
900,28.5,76.7,8.66,2021-01
901,28.5,76.8,8.68,2021-01
902,28.5,76.8,8.71,2021-01
903,28.5,76.9,8.75,2021-01
904,28.5,77.0,8.79,2021-01
905,28.5,77.1,8.82,2021-01
906,28.5,77.2,8.88,2021-01
907,28.5,77.3,8.99,2021-01
908,28.5,77.5,9.08,2021-01
909,28.4,76.7,8.59,2021-01
910,28.4,76.8,8.62,2021-01
911,28.4,76.8,8.64,2021-01
912,28.4,76.9,8.65,2021-01
913,28.4,77.0,8.62,2021-01
914,28.4,77.1,8.63,2021-01
915,28.4,77.2,8.79,2021-01
916,28.4,77.3,8.94,2021-01
917,28.4,77.5,9.03,2021-01
918,28.3,76.7,8.59,2021-01
919,28.3,76.8,8.59,2021-01
920,28.3,76.8,8.6,2021-01
921,28.3,76.9,8.6,2021-01
922,28.3,77.0,8.61,2021-01
923,28.3,77.1,8.65,2021-01
924,28.3,77.2,8.76,2021-01
925,28.3,77.3,8.89,2021-01
926,28.3,77.5,8.98,2021-01
927,28.3,76.7,8.59,2021-01
928,28.3,76.8,8.55,2021-01
929,28.3,76.8,8.54,2021-01
930,28.3,76.9,8.57,2021-01
931,28.3,77.0,8.62,2021-01
932,28.3,77.1,8.68,2021-01
933,28.3,77.2,8.76,2021-01
934,28.3,77.3,8.84,2021-01
935,28.3,77.5,8.92,2021-01
936,29.0,76.7,11.19,2021-02
937,29.0,76.8,11.37,2021-02
938,29.0,76.8,11.5,2021-02
939,29.0,76.9,11.54,2021-02
940,29.0,77.0,11.59,2021-02
941,29.0,77.1,11.72,2021-02
942,29.0,77.2,11.68,2021-02
943,29.0,77.3,11.61,2021-02
944,29.0,77.5,11.53,2021-02
945,28.9,76.7,10.89,2021-02
946,28.9,76.8,11.11,2021-02
947,28.9,76.8,11.22,2021-02
948,28.9,76.9,11.29,2021-02
949,28.9,77.0,11.47,2021-02
950,28.9,77.1,11.6,2021-02
951,28.9,77.2,11.64,2021-02
952,28.9,77.3,11.62,2021-02
953,28.9,77.5,11.56,2021-02
954,28.8,76.7,10.58,2021-02
955,28.8,76.8,10.81,2021-02
956,28.8,76.8,10.97,2021-02
957,28.8,76.9,11.12,2021-02
958,28.8,77.0,11.3,2021-02
959,28.8,77.1,11.41,2021-02
960,28.8,77.2,11.46,2021-02
961,28.8,77.3,11.49,2021-02
962,28.8,77.5,11.52,2021-02
963,28.7,76.7,10.46,2021-02
964,28.7,76.8,10.52,2021-02
965,28.7,76.8,10.57,2021-02
966,28.7,76.9,10.73,2021-02
967,28.7,77.0,10.89,2021-02
968,28.7,77.1,11.0,2021-02
969,28.7,77.2,11.05,2021-02
970,28.7,77.3,11.18,2021-02
971,28.7,77.5,11.38,2021-02
972,28.5,76.7,10.2,2021-02
973,28.5,76.8,10.14,2021-02
974,28.5,76.8,10.15,2021-02
975,28.5,76.9,10.28,2021-02
976,28.5,77.0,10.34,2021-02
977,28.5,77.1,10.44,2021-02
978,28.5,77.2,10.65,2021-02
979,28.5,77.3,10.98,2021-02
980,28.5,77.5,11.24,2021-02
981,28.4,76.7,9.79,2021-02
982,28.4,76.8,9.75,2021-02
983,28.4,76.8,9.73,2021-02
984,28.4,76.9,9.8,2021-02
985,28.4,77.0,9.79,2021-02
986,28.4,77.1,9.93,2021-02
987,28.4,77.2,10.4,2021-02
988,28.4,77.3,10.81,2021-02
989,28.4,77.5,11.09,2021-02
990,28.3,76.7,9.55,2021-02
991,28.3,76.8,9.46,2021-02
992,28.3,76.8,9.41,2021-02
993,28.3,76.9,9.47,2021-02
994,28.3,77.0,9.61,2021-02
995,28.3,77.1,9.89,2021-02
996,28.3,77.2,10.28,2021-02
997,28.3,77.3,10.68,2021-02
998,28.3,77.5,10.95,2021-02
999,28.3,76.7,9.31,2021-02
1000,28.3,76.8,9.12,2021-02
1001,28.3,76.8,9.04,2021-02
1002,28.3,76.9,9.24,2021-02
1003,28.3,77.0,9.58,2021-02
1004,28.3,77.1,9.92,2021-02
1005,28.3,77.2,10.22,2021-02
1006,28.3,77.3,10.53,2021-02
1007,28.3,77.5,10.78,2021-02
1008,29.0,76.7,11.84,2021-03
1009,29.0,76.8,11.9,2021-03
1010,29.0,76.8,11.93,2021-03
1011,29.0,76.9,11.91,2021-03
1012,29.0,77.0,11.92,2021-03
1013,29.0,77.1,11.94,2021-03
1014,29.0,77.2,11.88,2021-03
1015,29.0,77.3,11.79,2021-03
1016,29.0,77.5,11.68,2021-03
1017,28.9,76.7,11.65,2021-03
1018,28.9,76.8,11.76,2021-03
1019,28.9,76.8,11.78,2021-03
1020,28.9,76.9,11.79,2021-03
1021,28.9,77.0,11.91,2021-03
1022,28.9,77.1,11.99,2021-03
1023,28.9,77.2,11.98,2021-03
1024,28.9,77.3,11.93,2021-03
1025,28.9,77.5,11.83,2021-03
1026,28.8,76.7,11.42,2021-03
1027,28.8,76.8,11.57,2021-03
1028,28.8,76.8,11.62,2021-03
1029,28.8,76.9,11.71,2021-03
1030,28.8,77.0,11.82,2021-03
1031,28.8,77.1,11.89,2021-03
1032,28.8,77.2,11.91,2021-03
1033,28.8,77.3,11.93,2021-03
1034,28.8,77.5,11.92,2021-03
1035,28.7,76.7,11.34,2021-03
1036,28.7,76.8,11.27,2021-03
1037,28.7,76.8,11.2,2021-03
1038,28.7,76.9,11.29,2021-03
1039,28.7,77.0,11.4,2021-03
1040,28.7,77.1,11.47,2021-03
1041,28.7,77.2,11.47,2021-03
1042,28.7,77.3,11.58,2021-03
1043,28.7,77.5,11.78,2021-03
1044,28.5,76.7,11.08,2021-03
1045,28.5,76.8,10.84,2021-03
1046,28.5,76.8,10.72,2021-03
1047,28.5,76.9,10.8,2021-03
1048,28.5,77.0,10.8,2021-03
1049,28.5,77.1,10.81,2021-03
1050,28.5,77.2,11.0,2021-03
1051,28.5,77.3,11.31,2021-03
1052,28.5,77.5,11.54,2021-03
1053,28.4,76.7,10.7,2021-03
1054,28.4,76.8,10.48,2021-03
1055,28.4,76.8,10.31,2021-03
1056,28.4,76.9,10.33,2021-03
1057,28.4,77.0,10.24,2021-03
1058,28.4,77.1,10.28,2021-03
1059,28.4,77.2,10.71,2021-03
1060,28.4,77.3,11.11,2021-03
1061,28.4,77.5,11.35,2021-03
1062,28.3,76.7,10.64,2021-03
1063,28.3,76.8,10.4,2021-03
1064,28.3,76.8,10.21,2021-03
1065,28.3,76.9,10.2,2021-03
1066,28.3,77.0,10.24,2021-03
1067,28.3,77.1,10.39,2021-03
1068,28.3,77.2,10.72,2021-03
1069,28.3,77.3,11.09,2021-03
1070,28.3,77.5,11.35,2021-03
1071,28.3,76.7,10.5,2021-03
1072,28.3,76.8,10.25,2021-03
1073,28.3,76.8,10.06,2021-03
1074,28.3,76.9,10.14,2021-03
1075,28.3,77.0,10.36,2021-03
1076,28.3,77.1,10.58,2021-03
1077,28.3,77.2,10.81,2021-03
1078,28.3,77.3,11.06,2021-03
1079,28.3,77.5,11.29,2021-03
1080,29.0,76.7,6.88,2021-04
1081,29.0,76.8,6.97,2021-04
1082,29.0,76.8,7.03,2021-04
1083,29.0,76.9,7.09,2021-04
1084,29.0,77.0,7.16,2021-04
1085,29.0,77.1,7.16,2021-04
1086,29.0,77.2,7.11,2021-04
1087,29.0,77.3,7.06,2021-04
1088,29.0,77.5,6.99,2021-04
1089,28.9,76.7,6.66,2021-04
1090,28.9,76.8,6.78,2021-04
1091,28.9,76.8,6.83,2021-04
1092,28.9,76.9,6.9,2021-04
1093,28.9,77.0,7.01,2021-04
1094,28.9,77.1,7.07,2021-04
1095,28.9,77.2,7.06,2021-04
1096,28.9,77.3,7.04,2021-04
1097,28.9,77.5,6.95,2021-04
1098,28.8,76.7,6.47,2021-04
1099,28.8,76.8,6.59,2021-04
1100,28.8,76.8,6.62,2021-04
1101,28.8,76.9,6.68,2021-04
1102,28.8,77.0,6.77,2021-04
1103,28.8,77.1,6.84,2021-04
1104,28.8,77.2,6.86,2021-04
1105,28.8,77.3,6.88,2021-04
1106,28.8,77.5,6.89,2021-04
1107,28.7,76.7,6.57,2021-04
1108,28.7,76.8,6.4,2021-04
1109,28.7,76.8,6.19,2021-04
1110,28.7,76.9,6.18,2021-04
1111,28.7,77.0,6.3,2021-04
1112,28.7,77.1,6.38,2021-04
1113,28.7,77.2,6.3,2021-04
1114,28.7,77.3,6.43,2021-04
1115,28.7,77.5,6.63,2021-04
1116,28.5,76.7,6.43,2021-04
1117,28.5,76.8,6.02,2021-04
1118,28.5,76.8,5.73,2021-04
1119,28.5,76.9,5.67,2021-04
1120,28.5,77.0,5.58,2021-04
1121,28.5,77.1,5.52,2021-04
1122,28.5,77.2,5.71,2021-04
1123,28.5,77.3,6.02,2021-04
1124,28.5,77.5,6.24,2021-04
1125,28.4,76.7,6.05,2021-04
1126,28.4,76.8,5.65,2021-04
1127,28.4,76.8,5.31,2021-04
1128,28.4,76.9,5.17,2021-04
1129,28.4,77.0,4.93,2021-04
1130,28.4,77.1,4.82,2021-04
1131,28.4,77.2,5.25,2021-04
1132,28.4,77.3,5.67,2021-04
1133,28.4,77.5,5.91,2021-04
1134,28.3,76.7,5.91,2021-04
1135,28.3,76.8,5.48,2021-04
1136,28.3,76.8,5.11,2021-04
1137,28.3,76.9,4.94,2021-04
1138,28.3,77.0,4.8,2021-04
1139,28.3,77.1,4.81,2021-04
1140,28.3,77.2,5.13,2021-04
1141,28.3,77.3,5.51,2021-04
1142,28.3,77.5,5.78,2021-04
1143,28.3,76.7,5.69,2021-04
1144,28.3,76.8,5.23,2021-04
1145,28.3,76.8,4.85,2021-04
1146,28.3,76.9,4.75,2021-04
1147,28.3,77.0,4.79,2021-04
1148,28.3,77.1,4.88,2021-04
1149,28.3,77.2,5.07,2021-04
1150,28.3,77.3,5.32,2021-04
1151,28.3,77.5,5.57,2021-04
1152,29.0,76.7,15.71,2021-05
1153,29.0,76.8,15.99,2021-05
1154,29.0,76.8,16.26,2021-05
1155,29.0,76.9,16.53,2021-05
1156,29.0,77.0,16.81,2021-05
1157,29.0,77.1,16.97,2021-05
1158,29.0,77.2,17.06,2021-05
1159,29.0,77.3,17.1,2021-05
1160,29.0,77.5,17.14,2021-05
1161,28.9,76.7,15.68,2021-05
1162,28.9,76.8,15.97,2021-05
1163,28.9,76.8,16.22,2021-05
1164,28.9,76.9,16.49,2021-05
1165,28.9,77.0,16.77,2021-05
1166,28.9,77.1,16.99,2021-05
1167,28.9,77.2,17.12,2021-05
1168,28.9,77.3,17.22,2021-05
1169,28.9,77.5,17.26,2021-05
1170,28.8,76.7,15.64,2021-05
1171,28.8,76.8,15.93,2021-05
1172,28.8,76.8,16.18,2021-05
1173,28.8,76.9,16.43,2021-05
1174,28.8,77.0,16.7,2021-05
1175,28.8,77.1,16.92,2021-05
1176,28.8,77.2,17.08,2021-05
1177,28.8,77.3,17.23,2021-05
1178,28.8,77.5,17.35,2021-05
1179,28.7,76.7,15.76,2021-05
1180,28.7,76.8,15.9,2021-05
1181,28.7,76.8,16.08,2021-05
1182,28.7,76.9,16.37,2021-05
1183,28.7,77.0,16.74,2021-05
1184,28.7,77.1,17.0,2021-05
1185,28.7,77.2,17.0,2021-05
1186,28.7,77.3,17.22,2021-05
1187,28.7,77.5,17.45,2021-05
1188,28.5,76.7,15.77,2021-05
1189,28.5,76.8,15.81,2021-05
1190,28.5,76.8,15.96,2021-05
1191,28.5,76.9,16.24,2021-05
1192,28.5,77.0,16.49,2021-05
1193,28.5,77.1,16.65,2021-05
1194,28.5,77.2,16.9,2021-05
1195,28.5,77.3,17.25,2021-05
1196,28.5,77.5,17.5,2021-05
1197,28.4,76.7,15.66,2021-05
1198,28.4,76.8,15.73,2021-05
1199,28.4,76.8,15.82,2021-05
1200,28.4,76.9,16.08,2021-05
1201,28.4,77.0,16.19,2021-05
1202,28.4,77.1,16.42,2021-05
1203,28.4,77.2,16.84,2021-05
1204,28.4,77.3,17.28,2021-05
1205,28.4,77.5,17.53,2021-05
1206,28.3,76.7,15.64,2021-05
1207,28.3,76.8,15.67,2021-05
1208,28.3,76.8,15.75,2021-05
1209,28.3,76.9,15.96,2021-05
1210,28.3,77.0,16.21,2021-05
1211,28.3,77.1,16.53,2021-05
1212,28.3,77.2,16.85,2021-05
1213,28.3,77.3,17.22,2021-05
1214,28.3,77.5,17.47,2021-05
1215,28.3,76.7,15.63,2021-05
1216,28.3,76.8,15.58,2021-05
1217,28.3,76.8,15.61,2021-05
1218,28.3,76.9,15.93,2021-05
1219,28.3,77.0,16.39,2021-05
1220,28.3,77.1,16.74,2021-05
1221,28.3,77.2,16.97,2021-05
1222,28.3,77.3,17.16,2021-05
1223,28.3,77.5,17.35,2021-05
1224,29.0,76.7,20.39,2021-06
1225,29.0,76.8,20.66,2021-06
1226,29.0,76.8,20.89,2021-06
1227,29.0,76.9,21.12,2021-06
1228,29.0,77.0,21.37,2021-06
1229,29.0,77.1,21.54,2021-06
1230,29.0,77.2,21.6,2021-06
1231,29.0,77.3,21.67,2021-06
1232,29.0,77.5,21.74,2021-06
1233,28.9,76.7,20.25,2021-06
1234,28.9,76.8,20.53,2021-06
1235,28.9,76.8,20.75,2021-06
1236,28.9,76.9,20.99,2021-06
1237,28.9,77.0,21.26,2021-06
1238,28.9,77.1,21.47,2021-06
1239,28.9,77.2,21.59,2021-06
1240,28.9,77.3,21.67,2021-06
1241,28.9,77.5,21.74,2021-06
1242,28.8,76.7,20.12,2021-06
1243,28.8,76.8,20.4,2021-06
1244,28.8,76.8,20.63,2021-06
1245,28.8,76.9,20.88,2021-06
1246,28.8,77.0,21.14,2021-06
1247,28.8,77.1,21.34,2021-06
1248,28.8,77.2,21.48,2021-06
1249,28.8,77.3,21.6,2021-06
1250,28.8,77.5,21.71,2021-06
1251,28.7,76.7,20.18,2021-06
1252,28.7,76.8,20.34,2021-06
1253,28.7,76.8,20.54,2021-06
1254,28.7,76.9,20.81,2021-06
1255,28.7,77.0,21.08,2021-06
1256,28.7,77.1,21.28,2021-06
1257,28.7,77.2,21.38,2021-06
1258,28.7,77.3,21.54,2021-06
1259,28.7,77.5,21.7,2021-06
1260,28.5,76.7,20.17,2021-06
1261,28.5,76.8,20.28,2021-06
1262,28.5,76.8,20.46,2021-06
1263,28.5,76.9,20.71,2021-06
1264,28.5,77.0,20.88,2021-06
1265,28.5,77.1,21.02,2021-06
1266,28.5,77.2,21.25,2021-06
1267,28.5,77.3,21.5,2021-06
1268,28.5,77.5,21.65,2021-06
1269,28.4,76.7,20.07,2021-06
1270,28.4,76.8,20.21,2021-06
1271,28.4,76.8,20.35,2021-06
1272,28.4,76.9,20.54,2021-06
1273,28.4,77.0,20.61,2021-06
1274,28.4,77.1,20.76,2021-06
1275,28.4,77.2,21.11,2021-06
1276,28.4,77.3,21.44,2021-06
1277,28.4,77.5,21.59,2021-06
1278,28.3,76.7,19.97,2021-06
1279,28.3,76.8,20.06,2021-06
1280,28.3,76.8,20.16,2021-06
1281,28.3,76.9,20.33,2021-06
1282,28.3,77.0,20.5,2021-06
1283,28.3,77.1,20.73,2021-06
1284,28.3,77.2,21.03,2021-06
1285,28.3,77.3,21.33,2021-06
1286,28.3,77.5,21.51,2021-06
1287,28.3,76.7,19.89,2021-06
1288,28.3,76.8,19.87,2021-06
1289,28.3,76.8,19.91,2021-06
1290,28.3,76.9,20.16,2021-06
1291,28.3,77.0,20.5,2021-06
1292,28.3,77.1,20.78,2021-06
1293,28.3,77.2,21.0,2021-06
1294,28.3,77.3,21.19,2021-06
1295,28.3,77.5,21.36,2021-06
1296,29.0,76.7,23.66,2021-07
1297,29.0,76.8,23.74,2021-07
1298,29.0,76.8,23.81,2021-07
1299,29.0,76.9,23.94,2021-07
1300,29.0,77.0,24.07,2021-07
1301,29.0,77.1,24.11,2021-07
1302,29.0,77.2,24.11,2021-07
1303,29.0,77.3,24.15,2021-07
1304,29.0,77.5,24.18,2021-07
1305,28.9,76.7,23.56,2021-07
1306,28.9,76.8,23.65,2021-07
1307,28.9,76.8,23.72,2021-07
1308,28.9,76.9,23.83,2021-07
1309,28.9,77.0,23.96,2021-07
1310,28.9,77.1,24.04,2021-07
1311,28.9,77.2,24.08,2021-07
1312,28.9,77.3,24.11,2021-07
1313,28.9,77.5,24.13,2021-07
1314,28.8,76.7,23.44,2021-07
1315,28.8,76.8,23.53,2021-07
1316,28.8,76.8,23.62,2021-07
1317,28.8,76.9,23.73,2021-07
1318,28.8,77.0,23.85,2021-07
1319,28.8,77.1,23.93,2021-07
1320,28.8,77.2,23.98,2021-07
1321,28.8,77.3,24.04,2021-07
1322,28.8,77.5,24.08,2021-07
1323,28.7,76.7,23.4,2021-07
1324,28.7,76.8,23.46,2021-07
1325,28.7,76.8,23.57,2021-07
1326,28.7,76.9,23.71,2021-07
1327,28.7,77.0,23.84,2021-07
1328,28.7,77.1,23.92,2021-07
1329,28.7,77.2,23.94,2021-07
1330,28.7,77.3,24.02,2021-07
1331,28.7,77.5,24.07,2021-07
1332,28.5,76.7,23.37,2021-07
1333,28.5,76.8,23.43,2021-07
1334,28.5,76.8,23.55,2021-07
1335,28.5,76.9,23.67,2021-07
1336,28.5,77.0,23.73,2021-07
1337,28.5,77.1,23.76,2021-07
1338,28.5,77.2,23.87,2021-07
1339,28.5,77.3,24.01,2021-07
1340,28.5,77.5,24.05,2021-07
1341,28.4,76.7,23.32,2021-07
1342,28.4,76.8,23.41,2021-07
1343,28.4,76.8,23.49,2021-07
1344,28.4,76.9,23.55,2021-07
1345,28.4,77.0,23.53,2021-07
1346,28.4,77.1,23.58,2021-07
1347,28.4,77.2,23.77,2021-07
1348,28.4,77.3,23.96,2021-07
1349,28.4,77.5,24.01,2021-07
1350,28.3,76.7,23.28,2021-07
1351,28.3,76.8,23.32,2021-07
1352,28.3,76.8,23.36,2021-07
1353,28.3,76.9,23.41,2021-07
1354,28.3,77.0,23.47,2021-07
1355,28.3,77.1,23.56,2021-07
1356,28.3,77.2,23.71,2021-07
1357,28.3,77.3,23.88,2021-07
1358,28.3,77.5,23.95,2021-07
1359,28.3,76.7,23.25,2021-07
1360,28.3,76.8,23.19,2021-07
1361,28.3,76.8,23.18,2021-07
1362,28.3,76.9,23.3,2021-07
1363,28.3,77.0,23.49,2021-07
1364,28.3,77.1,23.63,2021-07
1365,28.3,77.2,23.71,2021-07
1366,28.3,77.3,23.77,2021-07
1367,28.3,77.5,23.82,2021-07
1368,29.0,76.7,24.19,2021-08
1369,29.0,76.8,24.25,2021-08
1370,29.0,76.8,24.3,2021-08
1371,29.0,76.9,24.41,2021-08
1372,29.0,77.0,24.52,2021-08
1373,29.0,77.1,24.56,2021-08
1374,29.0,77.2,24.55,2021-08
1375,29.0,77.3,24.61,2021-08
1376,29.0,77.5,24.66,2021-08
1377,28.9,76.7,23.99,2021-08
1378,28.9,76.8,24.12,2021-08
1379,28.9,76.8,24.18,2021-08
1380,28.9,76.9,24.29,2021-08
1381,28.9,77.0,24.43,2021-08
1382,28.9,77.1,24.52,2021-08
1383,28.9,77.2,24.53,2021-08
1384,28.9,77.3,24.56,2021-08
1385,28.9,77.5,24.59,2021-08
1386,28.8,76.7,23.71,2021-08
1387,28.8,76.8,23.9,2021-08
1388,28.8,76.8,24.04,2021-08
1389,28.8,76.9,24.18,2021-08
1390,28.8,77.0,24.32,2021-08
1391,28.8,77.1,24.4,2021-08
1392,28.8,77.2,24.45,2021-08
1393,28.8,77.3,24.49,2021-08
1394,28.8,77.5,24.52,2021-08
1395,28.7,76.7,23.64,2021-08
1396,28.7,76.8,23.78,2021-08
1397,28.7,76.8,23.95,2021-08
1398,28.7,76.9,24.13,2021-08
1399,28.7,77.0,24.32,2021-08
1400,28.7,77.1,24.43,2021-08
1401,28.7,77.2,24.39,2021-08
1402,28.7,77.3,24.45,2021-08
1403,28.7,77.5,24.49,2021-08
1404,28.5,76.7,23.57,2021-08
1405,28.5,76.8,23.69,2021-08
1406,28.5,76.8,23.87,2021-08
1407,28.5,76.9,24.03,2021-08
1408,28.5,77.0,24.15,2021-08
1409,28.5,77.1,24.2,2021-08
1410,28.5,77.2,24.3,2021-08
1411,28.5,77.3,24.42,2021-08
1412,28.5,77.5,24.44,2021-08
1413,28.4,76.7,23.5,2021-08
1414,28.4,76.8,23.64,2021-08
1415,28.4,76.8,23.78,2021-08
1416,28.4,76.9,23.88,2021-08
1417,28.4,77.0,23.92,2021-08
1418,28.4,77.1,24.03,2021-08
1419,28.4,77.2,24.21,2021-08
1420,28.4,77.3,24.38,2021-08
1421,28.4,77.5,24.41,2021-08
1422,28.3,76.7,23.46,2021-08
1423,28.3,76.8,23.58,2021-08
1424,28.3,76.8,23.67,2021-08
1425,28.3,76.9,23.77,2021-08
1426,28.3,77.0,23.88,2021-08
1427,28.3,77.1,24.04,2021-08
1428,28.3,77.2,24.23,2021-08
1429,28.3,77.3,24.39,2021-08
1430,28.3,77.5,24.45,2021-08
1431,28.3,76.7,23.4,2021-08
1432,28.3,76.8,23.45,2021-08
1433,28.3,76.8,23.5,2021-08
1434,28.3,76.9,23.7,2021-08
1435,28.3,77.0,23.96,2021-08
1436,28.3,77.1,24.16,2021-08
1437,28.3,77.2,24.28,2021-08
1438,28.3,77.3,24.36,2021-08
1439,28.3,77.5,24.42,2021-08
1440,29.0,76.7,24.34,2021-09
1441,29.0,76.8,24.34,2021-09
1442,29.0,76.8,24.34,2021-09
1443,29.0,76.9,24.38,2021-09
1444,29.0,77.0,24.42,2021-09
1445,29.0,77.1,24.39,2021-09
