month,latitude,longitude,dataValue,wellDepth
2020-11,28.5,76.9,9.92,40.0
2021-01,28.5,76.9,8.46,40.0
2021-08,28.5,76.9,7.93,40.0
2022-01,28.5,76.9,7.42,40.0
2022-05,28.5,76.9,7.28,40.0
2022-08,28.5,76.9,7.22,40.0
2022-11,28.5,76.9,6.12,40.0
2023-09,28.5,76.9,6.75,40.0
2023-10,28.5,76.9,6.68,40.0
2023-11,28.5,76.9,6.6,40.0
2023-12,28.5,76.9,6.7,40.0
2023-05,28.5,77.2,-38.37,
2023-06,28.5,77.2,-38.16,
2023-07,28.5,77.2,-38.05,
2023-08,28.5,77.2,-37.78,
2023-09,28.5,77.2,-37.75,
2023-10,28.5,77.2,-37.56,
2023-11,28.5,77.2,-37.23,
2023-12,28.5,77.2,-36.97,
2020-01,28.5,77.2,49.27,94.5
2020-08,28.5,77.2,46.74,94.5
2021-01,28.5,77.2,44.82,94.5
2021-08,28.5,77.2,43.05,94.5
2021-11,28.5,77.2,42.3,94.5
2022-01,28.5,77.2,41.1,94.5
2022-05,28.5,77.2,39.53,94.5
2022-11,28.5,77.2,39.04,94.5
2022-05,28.5,77.3,22.34,75.0
2020-01,28.5,76.9,3.56,80.0
2020-08,28.5,76.9,1.63,80.0
2020-11,28.5,76.9,2.87,80.0
2021-01,28.5,76.9,3.38,80.0
2023-09,28.5,76.9,1.19,38.0
2023-10,28.5,76.9,1.44,38.0
2023-11,28.5,76.9,1.74,38.0
2023-12,28.5,76.9,2.16,38.0
2020-01,28.5,77.1,22.65,100.0
2020-08,28.5,77.1,17.27,100.0
2020-11,28.5,77.1,16.4,100.0
2021-01,28.5,77.1,16.95,100.0
2021-08,28.5,77.1,12.83,100.0
2021-11,28.5,77.1,7.94,100.0
2022-01,28.5,77.1,10.1,100.0
2022-05,28.5,77.1,12.4,100.0
2022-08,28.5,77.1,13.41,100.0
2022-11,28.5,77.1,13.08,100.0
2020-01,28.5,76.9,1.7,15.0
2020-08,28.5,76.9,0.7,15.0
2020-11,28.5,76.9,2.47,15.0
2021-01,28.5,76.9,1.53,15.0
2021-08,28.5,76.9,0.9,15.0
2021-11,28.5,76.9,2.4,15.0
2022-01,28.5,76.9,1.85,15.0
2022-05,28.5,76.9,1.27,15.0
2022-08,28.5,76.9,0.97,15.0
2022-11,28.5,76.9,2.58,15.0
2020-11,28.5,77.1,4.58,20.0
2021-01,28.5,77.1,3.85,20.0
2021-11,28.5,77.1,0.51,20.0
2022-01,28.5,77.1,1.9,20.0
2022-05,28.5,77.1,3.29,20.0
2022-08,28.5,77.1,2.97,20.0
2022-11,28.5,77.1,2.66,20.0
2020-01,28.5,76.9,14.17,100.0
2020-08,28.5,76.9,13.26,100.0
2020-11,28.5,76.9,13.84,100.0
2021-01,28.5,76.9,13.68,100.0
2021-08,28.5,76.9,12.36,100.0
2021-11,28.5,76.9,11.31,100.0
2022-01,28.5,76.9,11.06,100.0
2022-05,28.5,76.9,10.8,100.0
2022-08,28.5,76.9,10.69,100.0
2022-11,28.5,76.9,10.62,100.0
2022-12,28.5,76.9,-10.74,
2023-01,28.5,76.9,-10.72,
2023-02,28.5,76.9,-10.69,
2023-03,28.5,76.9,-10.69,
2023-04,28.5,76.9,-10.64,
2023-05,28.5,76.9,-10.63,
2023-06,28.5,76.9,-10.61,
2023-07,28.5,76.9,-10.41,
2023-08,28.5,76.9,-10.22,
2023-09,28.5,76.9,-10.03,
2023-10,28.5,76.9,-9.94,
2023-11,28.5,76.9,-9.92,
2023-12,28.5,76.9,-9.93,
2020-01,28.5,77.2,31.12,104.0
2020-08,28.5,77.2,30.04,104.0
2020-11,28.5,77.2,30.75,104.0
2021-01,28.5,77.2,28.89,104.0
2021-08,28.5,77.2,27.68,104.0
2021-11,28.5,77.2,26.72,104.0
2022-01,28.5,77.2,25.49,104.0
2022-05,28.5,77.2,24.7,104.0
2022-08,28.5,77.2,24.5,104.0
2022-11,28.5,77.2,23.95,104.0
2020-01,28.5,77.0,13.57,75.0
2020-08,28.5,77.0,12.37,75.0
2021-01,28.5,77.0,11.91,75.0
2022-01,28.5,77.0,8.35,75.0
2022-05,28.5,77.0,9.2,75.0
2022-08,28.5,77.0,7.37,75.0
2022-11,28.5,77.0,7.52,75.0
2022-12,28.5,77.0,-8.03,
2023-01,28.5,77.0,-8.3,
2023-02,28.5,77.0,-8.63,
2023-03,28.5,77.0,-8.93,
2023-04,28.5,77.0,-9.11,
2023-05,28.5,77.0,-9.36,
2023-06,28.5,77.0,-9.4,
2023-07,28.5,77.0,-8.79,
2023-08,28.5,77.0,-8.34,
2023-09,28.5,77.0,-8.43,
2023-10,28.5,77.0,-8.75,
2023-11,28.5,77.0,-8.8,
2023-12,28.5,77.0,-8.57,
2023-04,28.5,77.2,-23.33,
2023-05,28.5,77.2,-23.29,
2023-06,28.5,77.2,-23.03,
2023-07,28.5,77.2,-22.93,
2023-08,28.5,77.2,-22.68,
2023-09,28.5,77.2,-22.39,
2023-10,28.5,77.2,-22.11,
2023-11,28.5,77.2,-21.7,
2023-12,28.5,77.2,-21.52,
2022-11,28.5,77.0,-13.89,
2022-12,28.5,77.0,-14.28,
2023-01,28.5,77.0,-14.86,
2023-02,28.5,77.0,-15.12,
2023-03,28.5,77.0,-15.84,
2023-04,28.5,77.0,-17.26,
2023-05,28.5,77.0,-18.15,
2023-06,28.5,77.0,-19.04,
2023-07,28.5,77.0,-18.94,
2023-08,28.5,77.0,-18.01,
2023-09,28.5,77.0,-18.14,
2023-10,28.5,77.0,-18.8,
2023-11,28.5,77.0,-19.28,
2023-12,28.5,77.0,-19.59,
2020-11,28.5,77.0,18.4,105.0
2021-01,28.5,77.0,17.43,105.0
2021-11,28.5,77.0,13.3,105.0
2022-01,28.5,77.0,14.21,105.0
2022-05,28.5,77.0,15.3,105.0
2022-08,28.5,77.0,14.39,105.0
2022-11,28.5,77.0,13.14,105.0
2020-01,28.5,76.9,14.05,59.0
2020-08,28.5,76.9,14.2,59.0
2023-09,28.5,76.9,11.84,58.0
2023-10,28.5,76.9,9.27,58.0
2023-11,28.5,76.9,9.49,58.0
2023-12,28.5,76.9,9.56,58.0
2020-01,28.5,77.1,46.42,65.0
2020-08,28.5,77.1,47.48,65.0
2020-11,28.5,77.1,48.0,65.0
2021-01,28.5,77.1,47.6,65.0
2021-08,28.5,77.1,44.86,65.0
2021-11,28.5,77.1,43.76,65.0
2022-01,28.5,77.1,43.79,65.0
2022-08,28.5,77.1,51.03,65.0
2022-11,28.5,77.1,43.04,65.0
2021-01,28.5,77.1,15.68,100.0
2021-08,28.5,77.1,9.18,100.0
2022-01,28.5,77.1,13.43,100.0
2022-05,28.5,77.1,14.0,100.0
2022-08,28.5,77.1,14.61,100.0
2022-11,28.5,77.1,14.26,100.0
2022-11,28.5,77.0,-15.56,
2022-12,28.5,77.0,-15.37,
2023-01,28.5,77.0,-15.14,
2023-02,28.5,77.0,-14.94,
2023-03,28.5,77.0,-14.78,
2023-04,28.5,77.0,-14.64,
2023-05,28.5,77.0,-14.53,
2023-06,28.5,77.0,-14.41,
2023-07,28.5,77.0,-14.19,
2023-08,28.5,77.0,-13.92,
2023-09,28.5,77.0,-13.72,
2023-10,28.5,77.0,-13.61,
2023-11,28.5,77.0,-13.49,
2023-12,28.5,77.0,-13.38,
2020-01,28.5,77.0,21.67,125.0
2020-08,28.5,77.0,21.33,125.0
2020-11,28.5,77.0,22.08,125.0
2021-01,28.5,77.0,20.97,125.0
2021-08,28.5,77.0,20.34,125.0
2021-11,28.5,77.0,19.39,125.0
2022-01,28.5,77.0,18.73,125.0
2022-05,28.5,77.0,17.86,125.0
2022-08,28.5,77.0,16.85,125.0
2022-11,28.5,77.0,14.15,125.0
2023-05,28.5,77.3,-9.78,
2023-06,28.5,77.3,-9.85,
2023-07,28.5,77.3,-9.27,
2023-08,28.5,77.3,-8.46,
2023-09,28.5,77.3,-8.45,
2023-10,28.5,77.3,-8.61,
2023-11,28.5,77.3,-8.85,
2023-12,28.5,77.3,-8.91,
2020-01,28.5,77.3,10.72,45.0
2020-08,28.5,77.3,10.16,45.0
2020-11,28.5,77.3,11.0,45.0
2021-01,28.5,77.3,10.45,45.0
2021-08,28.5,77.3,10.79,45.0
2021-11,28.5,77.3,10.51,45.0
2022-01,28.5,77.3,10.25,45.0
2022-05,28.5,77.3,10.3,45.0
2022-08,28.5,77.3,10.27,45.0
2022-11,28.5,77.3,9.64,45.0
2020-01,28.5,77.1,31.8,43.0
2020-08,28.5,77.1,31.88,43.0
2020-11,28.5,77.1,32.9,43.0
2021-01,28.5,77.1,31.91,43.0
2021-08,28.5,77.1,33.05,43.0
2021-11,28.5,77.1,32.54,43.0
2022-01,28.5,77.1,32.06,43.0
2022-05,28.5,77.1,31.79,43.0
2022-08,28.5,77.1,32.37,43.0
2022-11,28.5,77.1,31.68,43.0
2020-01,28.5,77.2,3.41,12.0
2020-08,28.5,77.2,2.96,12.0
2020-11,28.5,77.2,4.24,12.0
2021-01,28.5,77.2,3.92,12.0
2021-08,28.5,77.2,2.63,12.0
2022-01,28.5,77.2,2.9,12.0
2022-05,28.5,77.2,3.7,12.0
2022-08,28.5,77.2,2.48,12.0
2022-11,28.6,77.0,-14.53,
2022-12,28.6,77.0,-14.48,
2023-01,28.6,77.0,-14.33,
2023-02,28.6,77.0,-14.18,
2023-03,28.6,77.0,-14.09,
2023-04,28.6,77.0,-14.01,
2023-05,28.6,77.0,-14.14,
2023-06,28.6,77.0,-14.15,
2023-07,28.6,77.0,-13.87,
2023-08,28.6,77.0,-13.64,
2023-09,28.6,77.0,-13.55,
2023-10,28.6,77.0,-13.63,
2023-11,28.6,77.0,-13.5,
2023-12,28.6,77.0,-13.31,
2020-01,28.6,77.2,6.36,20.0
2020-08,28.6,77.2,5.68,20.0
2020-11,28.6,77.2,10.48,20.0
2021-01,28.6,77.2,5.31,20.0
2021-08,28.6,77.2,4.78,20.0
2021-11,28.6,77.2,4.88,20.0
2022-01,28.6,77.2,3.85,20.0
2022-05,28.6,77.2,4.78,20.0
2022-08,28.6,77.2,4.66,20.0
2022-11,28.6,77.2,7.57,20.0
2020-01,28.6,77.2,7.19,50.0
2020-08,28.6,77.2,6.84,50.0
2020-11,28.6,77.2,7.3,50.0
2021-01,28.6,77.2,6.19,50.0
2021-08,28.6,77.2,5.53,50.0
2022-01,28.6,77.2,4.4,50.0
2022-05,28.6,77.2,5.33,50.0
2022-08,28.6,77.2,5.41,50.0
2022-11,28.6,77.2,5.14,50.0
2020-11,28.6,77.0,21.14,70.0
2021-01,28.6,77.0,20.0,70.0
2021-11,28.6,77.0,17.03,70.0
2022-01,28.6,77.0,16.4,70.0
2022-05,28.6,77.0,15.29,70.0
2022-08,28.6,77.0,14.77,70.0
2022-11,28.6,77.0,14.15,70.0
2020-01,28.6,77.3,11.22,94.45
2020-08,28.6,77.3,10.85,94.45
2020-11,28.6,77.3,11.22,94.45
2021-01,28.6,77.3,10.01,94.45
2021-11,28.6,77.3,9.58,94.45
2022-01,28.6,77.3,9.34,94.45
2022-05,28.6,77.3,9.6,94.45
2022-08,28.6,77.3,9.62,94.45
2022-11,28.6,77.3,8.99,94.45
2020-01,28.6,77.1,27.22,174.0
2021-11,28.6,77.1,24.98,174.0
2022-01,28.6,77.1,24.8,174.0
2022-11,28.6,77.1,26.3,174.0
2020-01,28.6,76.9,13.15,50.0
2021-01,28.6,76.9,10.85,50.0
2021-08,28.6,76.9,12.76,50.0
2021-11,28.6,76.9,12.17,50.0
2022-01,28.6,76.9,11.3,50.0
2022-05,28.6,76.9,10.93,50.0
2022-08,28.6,76.9,10.84,50.0
2022-11,28.6,76.9,10.8,50.0
2023-09,28.6,76.9,10.5,42.0
2023-10,28.6,76.9,6.13,42.0
2023-11,28.6,76.9,0.0,42.0
2023-12,28.6,76.9,0.0,42.0
2020-01,28.6,77.2,3.61,60.0
2020-08,28.6,77.2,3.91,60.0
2020-11,28.6,77.2,5.14,60.0
2021-01,28.6,77.2,3.39,60.0
2021-08,28.6,77.2,2.69,60.0
2021-11,28.6,77.2,2.55,60.0
2022-01,28.6,77.2,3.2,60.0
2020-08,28.6,76.8,11.53,100.0
2020-11,28.6,76.8,12.6,100.0
2021-01,28.6,76.8,11.76,100.0
2021-05,28.6,76.8,11.52,100.0
2021-08,28.6,76.8,10.27,100.0
2021-11,28.6,76.8,8.7,100.0
2022-01,28.6,76.8,8.64,100.0
2022-05,28.6,76.8,10.16,100.0
2022-08,28.6,76.8,7.93,100.0
2022-11,28.6,76.8,7.84,100.0
2020-01,28.6,76.8,11.8,110.0
2022-08,28.6,76.8,7.69,110.0
2022-12,28.6,76.8,-7.9,
2023-01,28.6,76.8,-7.88,
2023-02,28.6,76.8,-7.9,
2023-03,28.6,76.8,-8.01,
2023-04,28.6,76.8,-9.82,
2023-05,28.6,76.8,-7.92,
2023-06,28.6,76.8,-7.74,
2023-07,28.6,76.8,-7.44,
2023-08,28.6,76.8,-7.43,
2023-09,28.6,76.8,-7.47,
2023-10,28.6,76.8,-7.59,
2023-11,28.6,76.8,-7.85,
2023-12,28.6,76.8,-8.03,
2023-05,28.6,77.3,-26.63,
2023-06,28.6,77.3,-26.63,
2023-07,28.6,77.3,-27.09,
2023-08,28.6,77.3,-27.27,
2023-09,28.6,77.3,-27.24,
2023-10,28.6,77.3,-27.12,
2023-11,28.6,77.3,-27.02,
2023-12,28.6,77.3,-26.89,
2020-01,28.6,77.0,22.02,75.0
2020-08,28.6,77.0,21.05,75.0
2020-11,28.6,77.0,21.48,75.0
2021-01,28.6,77.0,19.84,75.0
2021-08,28.6,77.0,19.28,75.0
2021-11,28.6,77.0,17.35,75.0
2022-01,28.6,77.0,16.72,75.0
2022-05,28.6,77.0,16.6,75.0
2022-08,28.6,77.0,16.75,75.0
2022-11,28.6,77.0,16.32,75.0
2022-12,28.6,77.0,-15.98,
2023-01,28.6,77.0,-15.73,
2023-02,28.6,77.0,-15.51,
2023-03,28.6,77.0,-15.44,
2023-04,28.6,77.0,-15.48,
2023-05,28.6,77.0,-15.52,
2023-06,28.6,77.0,-15.62,
2023-07,28.6,77.0,-15.46,
2023-08,28.6,77.0,-14.98,
2023-09,28.6,77.0,-14.55,
2023-10,28.6,77.0,-14.4,
2023-11,28.6,77.0,-14.23,
2023-12,28.6,77.0,-14.07,
2022-01,28.6,77.3,26.17,45.0
2022-05,28.6,77.3,26.87,45.0
2022-08,28.6,77.3,26.75,45.0
2022-11,28.6,77.3,26.43,45.0
2020-01,28.6,77.3,9.34,41.0
2020-08,28.6,77.3,8.96,41.0
2020-11,28.6,77.3,10.8,41.0
2021-01,28.6,77.3,9.04,41.0
2021-08,28.6,77.3,8.67,41.0
2021-11,28.6,77.3,8.21,41.0
2022-01,28.6,77.3,8.13,41.0
2022-05,28.6,77.3,8.48,41.0
2022-08,28.6,77.3,8.38,41.0
2022-11,28.6,77.3,8.17,41.0
2023-05,28.6,77.3,-7.94,
2023-06,28.6,77.3,-8.03,
2023-07,28.6,77.3,-7.88,
2023-08,28.6,77.3,-7.73,
2023-09,28.6,77.3,-7.59,
2023-10,28.6,77.3,-7.5,
2023-11,28.6,77.3,-7.5,
2023-12,28.6,77.3,-7.67,
2022-11,28.6,77.1,-35.63,
2022-12,28.6,77.1,-35.89,
2023-01,28.6,77.1,-35.91,
2023-02,28.6,77.1,-35.92,
2023-03,28.6,77.1,-40.01,
2023-04,28.6,77.1,-36.56,
2023-05,28.6,77.1,-36.79,
2023-06,28.6,77.1,-36.76,
2023-07,28.6,77.1,-36.79,
2023-08,28.6,77.1,-38.69,
2023-09,28.6,77.1,-36.24,
2023-10,28.6,77.1,-60.99,
2023-11,28.6,77.1,-78.84,
2023-12,28.6,77.1,-65.04,
2020-01,28.6,77.1,38.25,80.0
2020-08,28.6,77.1,37.07,80.0
2020-11,28.6,77.1,38.13,80.0
2021-01,28.6,77.1,36.85,80.0
2021-08,28.6,77.1,36.95,80.0
2021-11,28.6,77.1,36.66,80.0
2022-01,28.6,77.1,35.95,80.0
2022-05,28.6,77.1,35.43,80.0
2022-08,28.6,77.1,35.38,80.0
2022-11,28.6,77.1,35.44,80.0
2020-01,28.6,77.3,25.26,55.0
2020-08,28.6,77.3,25.47,55.0
2020-11,28.6,77.3,26.36,55.0
