latitude,longitude,month,dataValue,wellDepth
28.5,76.9,2023-12,6.9,50.0
28.5,76.9,2020-01,9.53,40.0
28.5,76.9,2020-08,9.55,40.0
28.5,76.9,2020-11,9.92,40.0
28.5,76.9,2021-01,8.46,40.0
28.5,76.9,2021-08,7.93,40.0
28.5,76.9,2022-01,7.42,40.0
28.5,76.9,2022-05,7.28,40.0
28.5,76.9,2022-08,7.22,40.0
28.5,76.9,2022-11,6.12,40.0
28.5,76.9,2023-09,6.75,40.0
28.5,76.9,2023-10,6.68,40.0
28.5,76.9,2023-11,6.6,40.0
28.5,76.9,2023-12,6.7,40.0
28.5,77.2,2023-05,-38.37,31.75
28.5,77.2,2023-06,-38.16,31.85
28.5,77.2,2023-07,-38.05,32.86
28.5,77.2,2023-08,-37.78,33.84
28.5,77.2,2023-09,-37.75,34.74
28.5,77.2,2023-10,-37.56,35.71
28.5,77.2,2023-11,-37.23,36.67
28.5,77.2,2023-12,-36.97,37.72
28.5,77.2,2020-01,49.27,94.5
28.5,77.2,2020-08,46.74,94.5
28.5,77.2,2021-01,44.82,94.5
28.5,77.2,2021-08,43.05,94.5
28.5,77.2,2021-11,42.3,94.5
28.5,77.2,2022-01,41.1,94.5
28.5,77.2,2022-05,39.53,94.5
28.5,77.2,2022-11,39.04,94.5
28.5,77.3,2022-05,22.34,75.0
28.5,76.9,2020-01,3.56,80.0
28.5,76.9,2020-08,1.63,80.0
28.5,76.9,2020-11,2.87,80.0
28.5,76.9,2021-01,3.38,80.0
28.5,76.9,2023-09,1.19,38.0
28.5,76.9,2023-10,1.44,38.0
28.5,76.9,2023-11,1.74,38.0
28.5,76.9,2023-12,2.16,38.0
28.5,77.1,2020-01,22.65,100.0
28.5,77.1,2020-08,17.27,100.0
28.5,77.1,2020-11,16.4,100.0
28.5,77.1,2021-01,16.95,100.0
28.5,77.1,2021-08,12.83,100.0
28.5,77.1,2021-11,7.94,100.0
28.5,77.1,2022-01,10.1,100.0
28.5,77.1,2022-05,12.4,100.0
28.5,77.1,2022-08,13.41,100.0
28.5,77.1,2022-11,13.08,100.0
28.5,76.9,2020-01,1.7,15.0
28.5,76.9,2020-08,0.7,15.0
28.5,76.9,2020-11,2.47,15.0
28.5,76.9,2021-01,1.53,15.0
28.5,76.9,2021-08,0.9,15.0
28.5,76.9,2021-11,2.4,15.0
28.5,76.9,2022-01,1.85,15.0
28.5,76.9,2022-05,1.27,15.0
28.5,76.9,2022-08,0.97,15.0
28.5,76.9,2022-11,2.58,15.0
28.5,77.1,2020-11,4.58,20.0
28.5,77.1,2021-01,3.85,20.0
28.5,77.1,2021-11,0.51,20.0
28.5,77.1,2022-01,1.9,20.0
28.5,77.1,2022-05,3.29,20.0
28.5,77.1,2022-08,2.97,20.0
28.5,77.1,2022-11,2.66,20.0
28.5,76.9,2020-01,14.17,100.0
28.5,76.9,2020-08,13.26,100.0
