,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C
99,28.4,77.1,0.0,2020-11,42.76,100.0,19.154623
100,28.4,77.1,0.0,2020-11,65.16,82.0,19.154623
101,28.4,77.1,0.0,2020-11,63.75,90.0,19.154623
102,28.4,77.2,0.0,2020-11,21.01,35.0,19.13992
103,28.4,77.2,0.0,2020-11,49.25,86.5,19.13992
104,28.8,77.0,0.0,2021-01,1.96,100.0,13.433441
105,28.8,77.0,0.0,2021-01,1.92,50.0,13.433441
106,28.8,77.0,0.0,2021-01,23.54,47.0,13.433441
107,28.8,77.1,0.0,2021-01,11.42,80.0,13.440136
108,28.8,77.2,0.0,2021-01,8.97,200.0,13.467385
109,28.8,77.2,0.0,2021-01,7.59,65.0,13.467385
110,28.8,77.2,0.0,2021-01,8.05,85.0,13.467385
111,28.8,77.2,0.0,2021-01,11.52,101.0,13.467385
112,28.5,76.9,0.0,2021-01,1.37,28.0,13.713296
113,28.5,76.9,0.0,2021-01,8.56,100.0,13.713296
114,28.5,76.9,0.0,2021-01,8.46,40.0,13.713296
115,28.5,76.9,0.0,2021-01,3.38,80.0,13.713296
116,28.5,76.9,0.0,2021-01,1.53,15.0,13.713296
117,28.5,76.9,0.0,2021-01,13.68,100.0,13.713296
118,28.5,77.0,0.0,2021-01,11.91,75.0,13.698771
119,28.5,77.0,0.0,2021-01,17.43,105.0,13.698771
120,28.5,77.0,0.0,2021-01,20.97,125.0,13.698771
121,28.5,77.1,0.0,2021-01,16.19,55.0,13.740078
122,28.5,77.1,0.0,2021-01,16.95,100.0,13.740078
123,28.5,77.1,0.0,2021-01,3.85,20.0,13.740078
124,28.5,77.1,0.0,2021-01,47.6,65.0,13.740078
125,28.5,77.1,0.0,2021-01,15.68,100.0,13.740078
126,28.5,77.1,0.0,2021-01,31.91,43.0,13.740078
127,28.5,77.2,0.0,2021-01,44.82,94.5,13.763745
128,28.5,77.2,0.0,2021-01,28.89,104.0,13.763745
129,28.5,77.2,0.0,2021-01,3.92,12.0,13.763745
130,28.5,77.3,0.0,2021-01,8.2,75.0,13.756496
131,28.5,77.3,0.0,2021-01,10.45,45.0,13.756496
132,28.4,77.1,0.0,2021-01,54.0,65.0,13.806959
133,28.4,77.1,0.0,2021-01,41.99,100.0,13.806959
134,28.4,77.1,0.0,2021-01,65.47,82.0,13.806959
135,28.4,77.1,0.0,2021-01,63.88,90.0,13.806959
136,28.4,77.2,0.0,2021-01,21.83,35.0,13.863176
137,28.4,77.2,0.0,2021-01,50.78,86.5,13.863176
138,28.8,77.0,0.0,2021-08,0.66,100.0,29.342041
139,28.8,77.0,0.0,2021-08,1.78,8.6,29.342041
140,28.8,77.0,0.0,2021-08,5.24,50.0,29.342041
141,28.8,77.0,0.0,2021-08,23.8,25.0,29.342041
142,28.8,77.1,0.0,2021-08,10.68,80.0,29.230164
143,28.8,77.1,0.0,2021-08,21.78,45.0,29.230164
144,28.8,77.2,0.0,2021-08,7.58,65.0,29.110924
145,28.8,77.2,0.0,2021-08,7.72,85.0,29.110924
146,28.8,77.2,0.0,2021-08,11.7,101.0,29.110924
147,28.5,76.9,0.0,2021-08,0.82,80.0,29.58995
148,28.5,76.9,0.0,2021-08,0.6,28.0,29.58995
149,28.5,76.9,0.0,2021-08,8.1,100.0,29.58995
150,28.5,76.9,0.0,2021-08,7.93,40.0,29.58995
151,28.5,76.9,0.0,2021-08,0.9,15.0,29.58995
152,28.5,76.9,0.0,2021-08,12.36,100.0,29.58995
153,28.5,77.0,0.0,2021-08,20.34,125.0,29.349886
154,28.5,77.1,0.0,2021-08,15.2,55.0,29.180279
155,28.5,77.1,0.0,2021-08,12.83,100.0,29.180279
156,28.5,77.1,0.0,2021-08,44.86,65.0,29.180279
157,28.5,77.1,0.0,2021-08,9.18,100.0,29.180279
158,28.5,77.1,0.0,2021-08,33.05,43.0,29.180279
159,28.5,77.2,0.0,2021-08,51.7,150.0,29.137745
160,28.5,77.2,0.0,2021-08,43.05,94.5,29.137745
161,28.5,77.2,0.0,2021-08,27.68,104.0,29.137745
162,28.5,77.2,0.0,2021-08,2.63,12.0,29.137745
163,28.5,77.3,0.0,2021-08,8.57,75.0,29.100613
164,28.5,77.3,0.0,2021-08,10.79,45.0,29.100613
165,28.4,77.1,0.0,2021-08,53.6,65.0,29.053745
166,28.4,77.1,0.0,2021-08,40.76,100.0,29.053745
167,28.4,77.1,0.0,2021-08,65.48,82.0,29.053745
168,28.4,77.1,0.0,2021-08,63.61,90.0,29.053745
169,28.4,77.2,0.0,2021-08,11.45,35.0,29.094181
170,28.4,77.2,0.0,2021-08,54.61,86.5,29.094181
171,28.8,77.0,0.0,2021-11,0.94,100.0,18.924595
