latitude,longitude,pressure_hPa,month
28.6,77.2,987.873,2020-03
28.6,77.3,988.1473,2020-03
28.6,77.5,988.0662,2020-03
28.5,76.7,986.7206,2020-03
28.5,76.8,987.3598,2020-03
28.5,76.8,988.59216,2020-03
28.5,76.9,988.76135,2020-03
28.5,77.0,987.3585,2020-03
28.5,77.1,986.26044,2020-03
28.5,77.2,987.3448,2020-03
28.5,77.3,988.7502,2020-03
28.5,77.5,988.34546,2020-03
28.4,76.7,986.89154,2020-03
28.4,76.8,988.0196,2020-03
28.4,76.8,988.67883,2020-03
28.4,76.9,987.51227,2020-03
28.4,77.0,984.9819,2020-03
28.4,77.1,984.18195,2020-03
28.4,77.2,986.579,2020-03
28.4,77.3,989.0402,2020-03
28.4,77.5,988.857,2020-03
28.3,76.7,986.527,2020-03
28.3,76.8,986.887,2020-03
28.3,76.8,986.38007,2020-03
28.3,76.9,985.32684,2020-03
28.3,77.0,984.5565,2020-03
28.3,77.1,985.13617,2020-03
28.3,77.2,987.29535,2020-03
28.3,77.3,989.4206,2020-03
28.3,77.5,989.6899,2020-03
28.3,76.7,985.9601,2020-03
28.3,76.8,984.8225,2020-03
28.3,76.8,983.44086,2020-03
28.3,76.9,984.2723,2020-03
28.3,77.0,986.5099,2020-03
28.3,77.1,987.9804,2020-03
28.3,77.2,988.6824,2020-03
28.3,77.3,989.2619,2020-03
28.3,77.5,989.3756,2020-03
29.0,76.7,983.5374,2020-04
29.0,76.8,983.7932,2020-04
29.0,76.8,983.8306,2020-04
29.0,76.9,984.42926,2020-04
29.0,77.0,985.26807,2020-04
29.0,77.1,984.39764,2020-04
29.0,77.2,983.3844,2020-04
29.0,77.3,983.5528,2020-04
29.0,77.5,983.7487,2020-04
28.9,76.7,983.99585,2020-04
28.9,76.8,984.30206,2020-04
28.9,76.8,984.1276,2020-04
28.9,76.9,984.52527,2020-04
28.9,77.0,985.22107,2020-04
28.9,77.1,985.1412,2020-04
28.9,77.2,984.56335,2020-04
28.9,77.3,984.24634,2020-04
28.9,77.5,983.97906,2020-04
28.8,76.7,983.8018,2020-04
28.8,76.8,984.0604,2020-04
28.8,76.8,984.1906,2020-04
28.8,76.9,984.54425,2020-04
28.8,77.0,984.9702,2020-04
28.8,77.1,984.90765,2020-04
28.8,77.2,984.61206,2020-04
28.8,77.3,984.403,2020-04
28.8,77.5,984.2349,2020-04
28.6,76.7,983.3844,2020-04
28.6,76.8,983.4981,2020-04
28.6,76.8,984.3881,2020-04
28.6,76.9,985.25757,2020-04
28.6,77.0,985.2372,2020-04
28.6,77.1,984.72363,2020-04
28.6,77.2,984.72144,2020-04
28.6,77.3,984.99274,2020-04
28.6,77.5,984.9192,2020-04
28.5,76.7,983.5609,2020-04
28.5,76.8,984.18695,2020-04
