Unnamed: 0_x,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,Unnamed: 0_y,d2m_C
0,28.8,77.0,0.0,2020-01,1.71,100.0,12.806938,22,8.89
1,28.8,77.0,0.0,2020-01,2.8,8.6,12.806938,22,8.89
2,28.8,77.0,0.0,2020-01,2.36,50.0,12.806938,22,8.89
3,28.8,77.0,0.0,2020-01,23.65,47.0,12.806938,22,8.89
4,28.8,77.1,0.0,2020-01,12.24,80.0,12.8308115,23,8.96
5,28.8,77.1,0.0,2020-01,21.3,45.0,12.8308115,23,8.96
6,28.8,77.2,0.0,2020-01,9.54,200.0,12.864816,24,8.99
7,28.8,77.2,0.0,2020-01,7.94,65.0,12.864816,24,8.99
8,28.8,77.2,0.0,2020-01,9.49,101.0,12.864816,24,8.99
9,28.5,76.9,0.0,2020-01,1.08,80.0,12.995922,39,8.79
10,28.5,76.9,0.0,2020-01,2.14,28.0,12.995922,39,8.79
11,28.5,76.9,0.0,2020-01,9.78,100.0,12.995922,39,8.79
12,28.5,76.9,0.0,2020-01,9.53,40.0,12.995922,39,8.79
13,28.5,76.9,0.0,2020-01,3.56,80.0,12.995922,39,8.79
14,28.5,76.9,0.0,2020-01,1.7,15.0,12.995922,39,8.79
15,28.5,76.9,0.0,2020-01,14.17,100.0,12.995922,39,8.79
16,28.5,76.9,0.0,2020-01,14.05,59.0,12.995922,39,8.79
17,28.5,77.0,0.0,2020-01,13.57,75.0,12.941975,40,8.84
18,28.5,77.0,0.0,2020-01,21.67,125.0,12.941975,40,8.84
19,28.5,77.1,0.0,2020-01,19.91,55.0,12.966299,41,8.87
20,28.5,77.1,0.0,2020-01,22.65,100.0,12.966299,41,8.87
21,28.5,77.1,0.0,2020-01,46.42,65.0,12.966299,41,8.87
22,28.5,77.1,0.0,2020-01,31.8,43.0,12.966299,41,8.87
23,28.5,77.2,0.0,2020-01,52.12,150.0,13.014212,42,8.94
24,28.5,77.2,0.0,2020-01,49.27,94.5,13.014212,42,8.94
25,28.5,77.2,0.0,2020-01,31.12,104.0,13.014212,42,8.94
26,28.5,77.2,0.0,2020-01,3.41,12.0,13.014212,42,8.94
27,28.5,77.3,0.0,2020-01,7.59,75.0,13.047307,43,9.05
28,28.5,77.3,0.0,2020-01,10.72,45.0,13.047307,43,9.05
29,28.4,77.1,0.0,2020-01,47.78,100.0,12.916069,50,8.75
30,28.4,77.1,0.0,2020-01,63.13,82.0,12.916069,50,8.75
31,28.4,77.1,0.0,2020-01,61.99,90.0,12.916069,50,8.75
32,28.4,77.2,0.0,2020-01,22.53,35.0,13.034721,51,8.92
33,28.4,77.2,0.0,2020-01,54.07,86.5,13.034721,51,8.92
34,28.8,77.1,0.0,2020-05,8.69,,30.38642,311,15.76
35,28.8,77.1,0.0,2020-05,22.35,,30.38642,311,15.76
36,28.8,77.0,0.0,2020-08,0.66,100.0,28.928104,526,25.29
37,28.8,77.0,0.0,2020-08,3.35,8.6,28.928104,526,25.29
38,28.8,77.0,0.0,2020-08,0.41,50.0,28.928104,526,25.29
39,28.8,77.0,0.0,2020-08,24.99,47.0,28.928104,526,25.29
40,28.8,77.1,0.0,2020-08,9.01,,28.836103,527,25.31
41,28.8,77.1,0.0,2020-08,9.09,,28.836103,527,25.31
42,28.8,77.1,0.0,2020-08,13.02,80.0,28.836103,527,25.31
43,28.8,77.1,0.0,2020-08,21.57,45.0,28.836103,527,25.31
44,28.8,77.1,0.0,2020-08,22.71,,28.836103,527,25.31
45,28.8,77.2,0.0,2020-08,9.86,200.0,28.726389,528,25.32
46,28.8,77.2,0.0,2020-08,7.96,65.0,28.726389,528,25.32
47,28.8,77.2,0.0,2020-08,8.27,85.0,28.726389,528,25.32
48,28.8,77.2,0.0,2020-08,11.7,101.0,28.726389,528,25.32
49,28.5,76.9,0.0,2020-08,1.01,28.0,29.11467,543,25.2
50,28.5,76.9,0.0,2020-08,9.48,100.0,29.11467,543,25.2
51,28.5,76.9,0.0,2020-08,9.55,40.0,29.11467,543,25.2
52,28.5,76.9,0.0,2020-08,1.63,80.0,29.11467,543,25.2
53,28.5,76.9,0.0,2020-08,0.7,15.0,29.11467,543,25.2
54,28.5,76.9,0.0,2020-08,13.26,100.0,29.11467,543,25.2
55,28.5,76.9,0.0,2020-08,14.2,59.0,29.11467,543,25.2
56,28.5,77.0,0.0,2020-08,12.37,75.0,28.912338,544,25.23
57,28.5,77.0,0.0,2020-08,21.33,125.0,28.912338,544,25.23
58,28.5,77.1,0.0,2020-08,17.41,55.0,28.774742,545,25.2
59,28.5,77.1,0.0,2020-08,17.27,100.0,28.774742,545,25.2
60,28.5,77.1,0.0,2020-08,47.48,65.0,28.774742,545,25.2
61,28.5,77.1,0.0,2020-08,31.88,43.0,28.774742,545,25.2
62,28.5,77.2,0.0,2020-08,52.05,150.0,28.743917,546,25.26
63,28.5,77.2,0.0,2020-08,46.74,94.5,28.743917,546,25.26
64,28.5,77.2,0.0,2020-08,30.04,104.0,28.743917,546,25.26
65,28.5,77.2,0.0,2020-08,2.96,12.0,28.743917,546,25.26
66,28.5,77.3,0.0,2020-08,7.83,75.0,28.709053,547,25.35
67,28.5,77.3,0.0,2020-08,10.16,45.0,28.709053,547,25.35
68,28.4,77.1,0.0,2020-08,41.64,100.0,28.69048,554,25.06
69,28.4,77.1,0.0,2020-08,63.97,82.0,28.69048,554,25.06
70,28.4,77.1,0.0,2020-08,62.66,90.0,28.69048,554,25.06
71,28.4,77.2,0.0,2020-08,9.3,35.0,28.7268,555,25.2
72,28.4,77.2,0.0,2020-08,48.67,86.5,28.7268,555,25.2
73,28.8,77.0,0.0,2020-11,3.09,100.0,18.614126,742,10.16
74,28.8,77.0,0.0,2020-11,3.74,8.6,18.614126,742,10.16
75,28.8,77.0,0.0,2020-11,25.11,47.0,18.614126,742,10.16
76,28.8,77.1,0.0,2020-11,13.04,80.0,18.54206,743,10.28
77,28.8,77.2,0.0,2020-11,10.28,200.0,18.45833,744,10.37
78,28.8,77.2,0.0,2020-11,8.97,65.0,18.45833,744,10.37
79,28.8,77.2,0.0,2020-11,9.76,85.0,18.45833,744,10.37
80,28.8,77.2,0.0,2020-11,12.7,101.0,18.45833,744,10.37
81,28.5,76.9,0.0,2020-11,2.37,28.0,19.191603,759,9.37
82,28.5,76.9,0.0,2020-11,10.1,100.0,19.191603,759,9.37
83,28.5,76.9,0.0,2020-11,9.92,40.0,19.191603,759,9.37
84,28.5,76.9,0.0,2020-11,2.87,80.0,19.191603,759,9.37
85,28.5,76.9,0.0,2020-11,2.47,15.0,19.191603,759,9.37
86,28.5,76.9,0.0,2020-11,13.84,100.0,19.191603,759,9.37
87,28.5,77.0,0.0,2020-11,18.4,105.0,19.09624,760,9.44
88,28.5,77.0,0.0,2020-11,22.08,125.0,19.09624,760,9.44
89,28.5,77.1,0.0,2020-11,19.25,55.0,19.058445,761,9.49
90,28.5,77.1,0.0,2020-11,16.4,100.0,19.058445,761,9.49
91,28.5,77.1,0.0,2020-11,4.58,20.0,19.058445,761,9.49
92,28.5,77.1,0.0,2020-11,48.0,65.0,19.058445,761,9.49
93,28.5,77.1,0.0,2020-11,32.9,43.0,19.058445,761,9.49
94,28.5,77.2,0.0,2020-11,53.01,150.0,18.975176,762,9.69
95,28.5,77.2,0.0,2020-11,30.75,104.0,18.975176,762,9.69
96,28.5,77.2,0.0,2020-11,4.24,12.0,18.975176,762,9.69
97,28.5,77.3,0.0,2020-11,9.47,75.0,18.85111,763,9.99
98,28.5,77.3,0.0,2020-11,11.0,45.0,18.85111,763,9.99
99,28.4,77.1,0.0,2020-11,42.76,100.0,19.154623,770,8.98
