latitude,longitude,number,tp_mm,month
29.0,76.7,0,0.0,2020-01
29.0,76.8,0,0.0,2020-01
29.0,76.89999999999999,0,0.0,2020-01
29.0,76.99999999999999,0,0.0,2020-01
29.0,77.09999999999998,0,0.0,2020-01
29.0,77.19999999999997,0,0.0,2020-01
29.0,77.29999999999997,0,0.0,2020-01
29.0,77.39999999999996,0,0.0,2020-01
29.0,77.5,0,0.0,2020-01
28.9,76.7,0,0.0,2020-01
28.9,76.8,0,0.0,2020-01
28.9,76.89999999999999,0,0.0,2020-01
28.9,76.99999999999999,0,0.0,2020-01
28.9,77.09999999999998,0,0.0,2020-01
28.9,77.19999999999997,0,0.0,2020-01
28.9,77.29999999999997,0,0.0,2020-01
28.9,77.39999999999996,0,0.0,2020-01
28.9,77.5,0,0.0,2020-01
28.799999999999997,76.7,0,0.0,2020-01
28.799999999999997,76.8,0,0.0,2020-01
28.799999999999997,76.89999999999999,0,0.0,2020-01
28.799999999999997,76.99999999999999,0,0.0,2020-01
28.799999999999997,77.09999999999998,0,0.0,2020-01
28.799999999999997,77.19999999999997,0,0.0,2020-01
28.799999999999997,77.29999999999997,0,0.0,2020-01
28.799999999999997,77.39999999999996,0,0.0,2020-01
28.799999999999997,77.5,0,0.0,2020-01
28.699999999999996,76.7,0,0.0,2020-01
28.699999999999996,76.8,0,0.0,2020-01
28.699999999999996,76.89999999999999,0,0.0,2020-01
28.699999999999996,76.99999999999999,0,0.0,2020-01
28.699999999999996,77.09999999999998,0,0.0,2020-01
28.699999999999996,77.19999999999997,0,0.0,2020-01
28.699999999999996,77.29999999999997,0,0.0,2020-01
28.699999999999996,77.39999999999996,0,0.0,2020-01
28.699999999999996,77.5,0,0.0,2020-01
28.599999999999994,76.7,0,0.0,2020-01
28.599999999999994,76.8,0,0.0,2020-01
28.599999999999994,76.89999999999999,0,0.0,2020-01
28.599999999999994,76.99999999999999,0,0.0,2020-01
28.599999999999994,77.09999999999998,0,0.0,2020-01
28.599999999999994,77.19999999999997,0,0.0,2020-01
28.599999999999994,77.29999999999997,0,0.0,2020-01
28.599999999999994,77.39999999999996,0,0.0,2020-01
28.599999999999994,77.5,0,0.0,2020-01
28.499999999999993,76.7,0,0.0,2020-01
28.499999999999993,76.8,0,0.0,2020-01
28.499999999999993,76.89999999999999,0,0.0,2020-01
28.499999999999993,76.99999999999999,0,0.0,2020-01
28.499999999999993,77.09999999999998,0,0.0,2020-01
28.499999999999993,77.19999999999997,0,0.0,2020-01
28.499999999999993,77.29999999999997,0,0.0,2020-01
28.499999999999993,77.39999999999996,0,0.0,2020-01
28.499999999999993,77.5,0,0.0,2020-01
28.39999999999999,76.7,0,0.0,2020-01
28.39999999999999,76.8,0,0.0,2020-01
28.39999999999999,76.89999999999999,0,0.0,2020-01
28.39999999999999,76.99999999999999,0,0.0,2020-01
28.39999999999999,77.09999999999998,0,0.0,2020-01
